PheCode	Phenotype	Age	Prevalence	Case	Controls
362.29	Macular degeneration (senile) of retina NOS	Total	0.81	3935	481288
362.29	Macular degeneration (senile) of retina NOS	35-44	0.08	42	50993
362.29	Macular degeneration (senile) of retina NOS	45-54	0.19	264	139235
362.29	Macular degeneration (senile) of retina NOS	55-64	0.86	1748	202590
362.29	Macular degeneration (senile) of retina NOS	65-74	2.08	1881	88470
285.1	Acute posthemorrhagic anemia	Total	0.08	366	470418
285.1	Acute posthemorrhagic anemia	35-44	0.13	64	49369
285.1	Acute posthemorrhagic anemia	45-54	0.07	94	134871
285.1	Acute posthemorrhagic anemia	55-64	0.06	117	198969
285.1	Acute posthemorrhagic anemia	65-74	0.1	91	87209
71.0	Human immunodeficiency virus [HIV] disease	Total	0.02	115	492293
71.0	Human immunodeficiency virus [HIV] disease	35-44	0.05	23	50601
71.0	Human immunodeficiency virus [HIV] disease	45-54	0.04	49	139395
71.0	Human immunodeficiency virus [HIV] disease	55-64	0.02	33	208189
71.0	Human immunodeficiency virus [HIV] disease	65-74	0.01	10	94108
913.0	Toxic effect of venom	Total	0.03	162	500266
913.0	Toxic effect of venom	35-44	0.02	12	51461
913.0	Toxic effect of venom	45-54	0.03	39	141742
913.0	Toxic effect of venom	55-64	0.03	73	211445
913.0	Toxic effect of venom	65-74	0.04	38	95618
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Total	0.15	725	470418
280.2	Iron deficiency anemia secondary to blood loss (chronic)	35-44	0.21	103	49369
280.2	Iron deficiency anemia secondary to blood loss (chronic)	45-54	0.18	240	134871
280.2	Iron deficiency anemia secondary to blood loss (chronic)	55-64	0.13	261	198969
280.2	Iron deficiency anemia secondary to blood loss (chronic)	65-74	0.14	121	87209
367.0	Disorders of refraction and accommodation; blindness and low vision	Total	0.03	142	496505
367.0	Disorders of refraction and accommodation; blindness and low vision	35-44	0.03	13	51313
367.0	Disorders of refraction and accommodation; blindness and low vision	45-54	0.03	37	141124
367.0	Disorders of refraction and accommodation; blindness and low vision	55-64	0.03	56	209651
367.0	Disorders of refraction and accommodation; blindness and low vision	65-74	0.04	36	94417
729.1	Rheumatism, unspecified and fibrositis	Total	0.1	467	470973
729.1	Rheumatism, unspecified and fibrositis	35-44	0.09	44	49561
729.1	Rheumatism, unspecified and fibrositis	45-54	0.1	137	134801
729.1	Rheumatism, unspecified and fibrositis	55-64	0.1	206	197937
729.1	Rheumatism, unspecified and fibrositis	65-74	0.09	80	88674
227.1	Benign neoplasm of adrenal gland	Total	0.06	293	498117
227.1	Benign neoplasm of adrenal gland	35-44	0.02	12	51326
227.1	Benign neoplasm of adrenal gland	45-54	0.04	63	141219
227.1	Benign neoplasm of adrenal gland	55-64	0.07	144	210435
227.1	Benign neoplasm of adrenal gland	65-74	0.08	74	95137
211.0	Benign neoplasm of other parts of digestive system	Total	1.72	8416	479876
211.0	Benign neoplasm of other parts of digestive system	35-44	0.5	257	50931
211.0	Benign neoplasm of other parts of digestive system	45-54	1.03	1439	138594
211.0	Benign neoplasm of other parts of digestive system	55-64	2.04	4197	201553
211.0	Benign neoplasm of other parts of digestive system	65-74	2.76	2523	88798
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Total	0.03	166	497444
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	35-44	0.02	10	51220
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	45-54	0.03	42	141009
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	55-64	0.03	70	210289
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	65-74	0.05	44	94926
597.1	Urethral stricture (not specified as infectious)	Total	0.96	4663	480785
597.1	Urethral stricture (not specified as infectious)	35-44	0.56	286	50541
597.1	Urethral stricture (not specified as infectious)	45-54	0.67	935	138197
597.1	Urethral stricture (not specified as infectious)	55-64	1.02	2094	202610
597.1	Urethral stricture (not specified as infectious)	65-74	1.48	1348	89437
569.2	Gastrointestinal complications	Total	0.15	720	469177
569.2	Gastrointestinal complications	35-44	0.09	44	49335
569.2	Gastrointestinal complications	45-54	0.11	145	134325
569.2	Gastrointestinal complications	55-64	0.16	326	197667
569.2	Gastrointestinal complications	65-74	0.23	205	87850
527.0	Diseases of the salivary glands	Total	0.03	136	492610
527.0	Diseases of the salivary glands	35-44	0.01	5	50929
527.0	Diseases of the salivary glands	45-54	0.02	33	139847
527.0	Diseases of the salivary glands	55-64	0.02	51	207918
527.0	Diseases of the salivary glands	65-74	0.05	47	93916
733.8	Malunion and nonunion of fracture	Total	0.04	198	483416
733.8	Malunion and nonunion of fracture	35-44	0.04	22	50631
733.8	Malunion and nonunion of fracture	45-54	0.04	58	138132
733.8	Malunion and nonunion of fracture	55-64	0.04	79	203198
733.8	Malunion and nonunion of fracture	65-74	0.04	39	91455
250.21	Type 2 diabetes with ketoacidosis	Total	0.05	225	468659
250.21	Type 2 diabetes with ketoacidosis	35-44	0.04	22	50183
250.21	Type 2 diabetes with ketoacidosis	45-54	0.05	63	135840
250.21	Type 2 diabetes with ketoacidosis	55-64	0.05	90	196931
250.21	Type 2 diabetes with ketoacidosis	65-74	0.06	50	85705
770.0	Myalgia and myositis unspecified	Total	0.05	248	500180
770.0	Myalgia and myositis unspecified	35-44	0.05	25	51448
770.0	Myalgia and myositis unspecified	45-54	0.04	57	141724
770.0	Myalgia and myositis unspecified	55-64	0.06	122	211396
770.0	Myalgia and myositis unspecified	65-74	0.05	44	95612
567.0	Peritonitis and retroperitoneal infections	Total	0.27	1292	469177
567.0	Peritonitis and retroperitoneal infections	35-44	0.16	81	49335
567.0	Peritonitis and retroperitoneal infections	45-54	0.22	300	134325
567.0	Peritonitis and retroperitoneal infections	55-64	0.29	568	197667
567.0	Peritonitis and retroperitoneal infections	65-74	0.39	343	87850
38.0	Septicemia	Total	1.1	5312	477621
38.0	Septicemia	35-44	0.45	225	50193
38.0	Septicemia	45-54	0.67	927	137254
38.0	Septicemia	55-64	1.21	2476	201363
38.0	Septicemia	65-74	1.86	1684	88811
614.51	Cervicitis and endocervicitis	Total	0.29	1431	489046
614.51	Cervicitis and endocervicitis	35-44	0.34	170	49424
614.51	Cervicitis and endocervicitis	45-54	0.39	532	137182
614.51	Cervicitis and endocervicitis	55-64	0.27	563	207867
614.51	Cervicitis and endocervicitis	65-74	0.18	166	94573
242.2	Toxic multinodular goiter	Total	0.03	140	474858
242.2	Toxic multinodular goiter	35-44	0.02	9	50119
242.2	Toxic multinodular goiter	45-54	0.02	29	136454
242.2	Toxic multinodular goiter	55-64	0.03	67	199504
242.2	Toxic multinodular goiter	65-74	0.04	35	88781
619.2	Disorders of uterus, NEC	Total	0.9	4442	488638
619.2	Disorders of uterus, NEC	35-44	0.76	384	49945
619.2	Disorders of uterus, NEC	45-54	0.92	1278	137947
619.2	Disorders of uterus, NEC	55-64	0.94	1964	206886
619.2	Disorders of uterus, NEC	65-74	0.86	816	93860
189.12	Malignant neoplasm of renal pelvis	Total	0.02	104	494561
189.12	Malignant neoplasm of renal pelvis	35-44	0.0	2	51373
189.12	Malignant neoplasm of renal pelvis	45-54	0.01	8	141116
189.12	Malignant neoplasm of renal pelvis	55-64	0.02	45	208763
189.12	Malignant neoplasm of renal pelvis	65-74	0.05	49	93309
496.3	Bronchiectasis	Total	0.69	3140	452084
496.3	Bronchiectasis	35-44	0.12	59	47909
496.3	Bronchiectasis	45-54	0.25	328	130908
496.3	Bronchiectasis	55-64	0.8	1543	190364
496.3	Bronchiectasis	65-74	1.44	1210	82903
472.0	Chronic pharyngitis and nasopharyngitis	Total	0.26	1237	475549
472.0	Chronic pharyngitis and nasopharyngitis	35-44	0.26	129	49017
472.0	Chronic pharyngitis and nasopharyngitis	45-54	0.25	335	135198
472.0	Chronic pharyngitis and nasopharyngitis	55-64	0.27	538	201020
472.0	Chronic pharyngitis and nasopharyngitis	65-74	0.26	235	90314
722.9	Other and unspecified disc disorder	Total	1.17	5754	487642
722.9	Other and unspecified disc disorder	35-44	1.18	605	50485
722.9	Other and unspecified disc disorder	45-54	1.12	1568	138806
722.9	Other and unspecified disc disorder	55-64	1.14	2364	205913
722.9	Other and unspecified disc disorder	65-74	1.3	1217	92438
199.0	Neoplasm of uncertain behavior	Total	0.36	1618	447279
199.0	Neoplasm of uncertain behavior	35-44	0.22	109	48958
199.0	Neoplasm of uncertain behavior	45-54	0.25	334	131599
199.0	Neoplasm of uncertain behavior	55-64	0.39	730	186859
199.0	Neoplasm of uncertain behavior	65-74	0.55	445	79863
198.1	Secondary malignancy of lymph nodes	Total	1.79	8133	447279
198.1	Secondary malignancy of lymph nodes	35-44	0.65	319	48958
198.1	Secondary malignancy of lymph nodes	45-54	1.27	1692	131599
198.1	Secondary malignancy of lymph nodes	55-64	2.06	3931	186859
198.1	Secondary malignancy of lymph nodes	65-74	2.67	2191	79863
873.0	Broken tooth	Total	0.03	129	488645
873.0	Broken tooth	35-44	0.02	8	50255
873.0	Broken tooth	45-54	0.03	35	138553
873.0	Broken tooth	55-64	0.03	60	206818
873.0	Broken tooth	65-74	0.03	26	93019
