PheCode	Phenotype	Variance	Maximum Difference
8.0	Intestinal infection	0.0	0.15
8.5	Bacterial enteritis	0.13	1.09
38.1	Gram negative septicemia	0.1	0.9
8.51	Intestinal e.coli	0.0	0.08
8.52	Intestinal infection due to C. difficile	0.02	0.42
8.7	Intestinal infection due to protozoa	0.0	0.02
8.6	Viral Enteritis	0.03	0.55
10.0	Tuberculosis	0.0	0.07
41.0	Bacterial infection NOS	1.64	3.72
686.0	Other local infections of skin and subcutaneous tissue	0.06	0.73
480.1	Bacterial pneumonia	0.06	0.71
369.0	Infection of the eye	0.0	0.1
38.2	Gram positive septicemia	0.01	0.21
711.0	Arthropathy associated with infections	0.0	0.0
529.1	Glossitis	0.0	0.1
994.2	Sepsis	0.57	2.15
130.0	Spirochetal infection	0.0	0.08
79.0	Viral infection	0.11	0.89
31.0	Diseases due to other mycobacteria	0.0	0.01
657.0	Infections specific to the perinatal period	0.0	0.0
639.0	Complications following abortion or ectopic and molar pregnancies	0.0	0.05
465.0	Acute upper respiratory infections of multiple or unspecified sites	0.03	0.5
41.2	Streptococcus infection	0.17	1.26
320.0	Meningitis	0.0	0.14
420.0	Carditis	0.0	0.0
38.0	Septicemia	0.73	2.44
133.0	Arthropod-borne diseases	0.0	0.06
41.1	Staphylococcus infections	0.36	1.83
90.0	Sexually transmitted infections (not HIV or hepatitis)	0.0	0.02
90.2	Gonococcal infections	0.0	0.0
90.3	Venereal diseases due to Chlamydia trachomatis	0.0	0.01
131.0	Protozoan infection	0.0	0.01
54.0	Herpes simplex	0.0	0.07
78.0	Viral warts & HPV	0.01	0.26
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	0.06	0.67
130.1	Lyme disease	0.0	0.01
136.0	Other infectious and parasitic diseases	0.0	0.12
324.0	Other CNS infection and poliomyelitis	0.0	0.17
324.1	Jakob-Creutzfeldt disease	0.0	0.01
323.0	Encephalitis	0.0	0.09
386.2	Peripheral or central vertigo	0.03	0.51
369.2	Eye infection, viral	0.01	0.22
79.1	Varicella infection	0.0	0.04
480.2	Viral pneumonia	0.0	0.03
53.0	Herpes zoster	0.02	0.38
53.1	Herpes zoster with nervous system complications	0.0	0.05
381.1	Otitis media	0.01	0.34
70.1	Viral hepatitis A	0.0	0.04
70.2	Viral hepatitis B	46.04	16.67
70.0	Viral hepatitis	45.92	16.630000000000003
70.3	Viral hepatitis C	0.0	0.15
71.1	HIV infection, symptomatic	0.0	0.08
112.0	Candidiasis	0.19	1.24
480.3	Pneumonia due to fungus (mycoses)	0.0	0.05
230.0	Kaposi's sarcoma	0.0	0.01
202.2	Non-Hodgkins lymphoma	0.07	0.72
195.1	Malignant neoplasm, other	16.53	11.48
348.8	Encephalopathy, not elsewhere classified	0.0	0.09
504.0	Other alveolar and parietoalveolar pneumonopathy	0.01	0.23
798.0	Malaise and fatigue	0.19	1.24
260.1	Cachexia	0.0	0.02
577.1	Acute pancreatitis	0.03	0.45
79.2	Infectious mononucleosis	0.0	0.02
110.1	Dermatophytosis	0.0	0.04
110.11	Dermatophytosis of nail	0.0	0.03
110.12	Althete's foot	0.0	0.08
110.13	Dermatophytosis of the body	0.0	0.08
110.2	Dermatomycoses	0.0	0.0
112.3	Candidiasis of skin and nails	0.0	0.02
420.3	Endocarditis	0.04	0.54
117.2	Coccidioidomycosis	0.0	0.0
117.1	Histoplasmosis	0.0	0.0
117.3	Blastomycotic infection	0.0	0.0
117.0	Mycoses	0.0	0.06
117.4	Aspergillosis	0.0	0.07
580.2	Nephrotic syndrome without mention of glomerulonephritis	0.01	0.36
480.0	Pneumonia	0.87	2.56
134.0	Helminthiases	0.0	0.01
134.1	Intestinal helminthiases	0.0	0.04
132.1	Pediculosis and phthirus infestation	0.0	0.0
132.0	Infestation (lice, mites)	0.0	0.01
41.4	E. coli	0.54	2.14
145.1	Cancer of lip	0.0	0.04
145.2	Cancer of tongue	0.0	0.1
145.4	Cancer of the gums	0.0	0.04
145.5	Cancer of the mouth floor	0.0	0.02
145.0	Cancer of mouth	0.0	0.05
149.0	Cancer of larynx, pharynx, nasal cavities	0.0	0.02
145.3	Cancer of major salivary glands	0.0	0.03
149.1	Cancer of oropharynx	0.0	0.09
149.2	Cancer of nasopharynx	0.0	0.02
149.3	Cancer of hypopharynx	0.0	0.04
150.0	Cancer of esophagus	0.07	0.72
151.0	Cancer of stomach	0.05	0.63
159.2	Malignant neoplasm of small intestine, including duodenum	0.0	0.14
153.2	Colon cancer	0.73	2.3
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	0.29	1.47
153.0	Colorectal cancer	0.0	0.01
155.0	Cancer of liver and intrahepatic bile duct	0.02	0.41
155.1	Malignant neoplasm of liver, primary	0.01	0.32
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.0	0.18
157.0	Pancreatic cancer	0.03	0.5
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	2.03	3.94
149.9	Cancer of of nasal cavities	0.0	0.02
149.4	Cancer of larynx	0.01	0.25
165.1	Cancer of bronchus; lung	0.44	1.78
164.0	Cancer of intrathoracic organs	0.0	0.02
165.0	Cancer within the respiratory system	0.16	1.09
170.1	Bone cancer	0.0	0.08
172.11	Melanomas of skin	0.27	1.49
172.2	Other non-epithelial cancer of skin	9.46	8.44
159.4	Malignant neoplasm of retroperitoneum and peritoneum	0.01	0.32
170.2	Cancer of connective tissue	0.0	0.17
174.11	Malignant neoplasm of female breast	3.12	4.88
184.2	Cancer of other female genital organs, excluding uterus and ovary	0.0	0.13
184.1	Malignant neoplasm of ovary and other uterine adnexa	0.0	0.04
180.1	Cervical cancer	0.0	0.09
182.0	Malignant neoplasm of uterus	0.06	0.62
184.11	Malignant neoplasm of ovary	0.04	0.61
187.1	Malignant neoplasm of unspecified male genital organ	0.0	0.09
185.0	Cancer of prostate	3.79	4.99
187.2	Malignant neoplasm of testis	0.0	0.13
189.11	Malignant neoplasm of kidney, except pelvis	0.07	0.72
189.12	Malignant neoplasm of renal pelvis	0.0	0.04
189.4	Malignant neoplasm of other urinary organs	0.0	0.08
189.21	Malignant neoplasm of bladder	0.37	1.59
190.0	Cancer of eye	0.0	0.13
191.1	Cancer of brain and nervous system	0.0	0.02
191.11	Cancer of brain	0.01	0.21
193.0	Thyroid cancer	0.0	0.17
194.0	Cancer of other endocrine glands	0.0	0.03
