PheCode	Phenotype	MinPrev	MaxPrev
362.29	Macular degeneration (senile) of retina NOS	0.41	0.86
285.1	Acute posthemorrhagic anemia	0.04	0.11
71.0	Human immunodeficiency virus [HIV] disease	0.0	0.03
913.0	Toxic effect of venom	0.02	0.03
280.2	Iron deficiency anemia secondary to blood loss (chronic)	0.14	0.17
367.0	Disorders of refraction and accommodation; blindness and low vision	0.0	0.03
729.1	Rheumatism, unspecified and fibrositis	0.02	0.11
227.1	Benign neoplasm of adrenal gland	0.04	0.06
211.0	Benign neoplasm of other parts of digestive system	0.87	1.82
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	0.02	0.05
597.1	Urethral stricture (not specified as infectious)	0.94	1.2
569.2	Gastrointestinal complications	0.06	0.16
527.0	Diseases of the salivary glands	0.02	0.03
733.8	Malunion and nonunion of fracture	0.01	0.04
250.21	Type 2 diabetes with ketoacidosis	0.02	0.05
770.0	Myalgia and myositis unspecified	0.0	0.05
567.0	Peritonitis and retroperitoneal infections	0.22	0.28
38.0	Septicemia	0.91	1.18
614.51	Cervicitis and endocervicitis	0.07	0.59
242.2	Toxic multinodular goiter	0.01	0.04
619.2	Disorders of uterus, NEC	0.47	1.82
189.12	Malignant neoplasm of renal pelvis	0.01	0.03
496.3	Bronchiectasis	0.44	0.72
472.0	Chronic pharyngitis and nasopharyngitis	0.19	0.27
722.9	Other and unspecified disc disorder	0.39	1.23
199.0	Neoplasm of uncertain behavior	0.26	0.37
198.1	Secondary malignancy of lymph nodes	1.78	1.88
873.0	Broken tooth	0.01	0.03
255.11	Cushing's syndrome	0.03	0.04
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.06	0.08
527.8	Other specified diseases of the salivary glands	0.01	0.04
530.7	Gastroesophageal laceration-hemorrhage syndrome	0.09	0.12
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	0.04	0.12
278.1	Obesity	1.16	4.11
420.1	Myocarditis	0.02	0.03
626.1	Irregular menstrual cycle/bleeding	0.45	0.54
614.32	Chronic inflammatory pelvic disease	0.04	0.12
134.1	Intestinal helminthiases	0.02	0.04
155.0	Cancer of liver and intrahepatic bile duct	0.08	0.09
507.0	Pleurisy; pleural effusion	1.92	2.1
202.0	Cancer of other lymphoid, histiocytic tissue	0.19	0.36
614.54	Abscess or ulceration of vulva	0.06	0.09
740.1	Osteoarthritis; localized	1.11	3.05
286.11	Von willebrand's disease	0.01	0.03
217.1	Nevus, non-neoplastic	0.14	0.45
165.0	Cancer within the respiratory system	0.27	0.37
255.21	Glucocorticoid deficiency	0.08	0.13
337.0	Disorders of the autonomic nervous system	0.03	0.06
345.11	Generalized convulsive epilepsy	0.09	0.13
290.11	Alzheimer's disease	0.14	0.2
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	0.0	0.26
743.11	Osteoporosis NOS	0.09	1.28
289.4	Lymphadenitis	0.75	0.81
550.5	Ventral hernia	0.99	1.13
804.0	Fracture of hand or wrist	0.02	0.16
425.12	Other hypertrophic cardiomyopathy	0.04	0.06
575.1	Cholangitis	0.13	0.18
