PheCode	Phenotype	Age	Prevalence	Case	Controls
362.29	Macular degeneration (senile) of retina NOS	Total	0.81	3935	481288
362.29	Macular degeneration (senile) of retina NOS	England	0.86	3678	426355
362.29	Macular degeneration (senile) of retina NOS	Scotland	0.41	145	34888
362.29	Macular degeneration (senile) of retina NOS	Wales	0.56	112	20045
285.1	Acute posthemorrhagic anemia	Total	0.08	366	470418
285.1	Acute posthemorrhagic anemia	England	0.08	330	416771
285.1	Acute posthemorrhagic anemia	Scotland	0.04	15	34088
285.1	Acute posthemorrhagic anemia	Wales	0.11	21	19559
71.0	Human immunodeficiency virus [HIV] disease	Total	0.02	115	492293
71.0	Human immunodeficiency virus [HIV] disease	England	0.03	110	436786
71.0	Human immunodeficiency virus [HIV] disease	Scotland	0.01	5	35105
71.0	Human immunodeficiency virus [HIV] disease	Wales	0.0	0	20402
913.0	Toxic effect of venom	Total	0.03	162	500266
913.0	Toxic effect of venom	England	0.03	149	443912
913.0	Toxic effect of venom	Scotland	0.02	8	35647
913.0	Toxic effect of venom	Wales	0.02	5	20707
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Total	0.15	725	470418
280.2	Iron deficiency anemia secondary to blood loss (chronic)	England	0.15	644	416771
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Scotland	0.14	48	34088
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Wales	0.17	33	19559
367.0	Disorders of refraction and accommodation; blindness and low vision	Total	0.03	142	496505
367.0	Disorders of refraction and accommodation; blindness and low vision	England	0.03	138	440372
367.0	Disorders of refraction and accommodation; blindness and low vision	Scotland	0.01	4	35558
367.0	Disorders of refraction and accommodation; blindness and low vision	Wales	0.0	0	20575
729.1	Rheumatism, unspecified and fibrositis	Total	0.1	467	470973
729.1	Rheumatism, unspecified and fibrositis	England	0.11	449	416781
729.1	Rheumatism, unspecified and fibrositis	Scotland	0.02	6	34400
729.1	Rheumatism, unspecified and fibrositis	Wales	0.06	12	19792
227.1	Benign neoplasm of adrenal gland	Total	0.06	293	498117
227.1	Benign neoplasm of adrenal gland	England	0.06	269	441970
227.1	Benign neoplasm of adrenal gland	Scotland	0.04	15	35503
227.1	Benign neoplasm of adrenal gland	Wales	0.04	9	20644
211.0	Benign neoplasm of other parts of digestive system	Total	1.72	8416	479876
211.0	Benign neoplasm of other parts of digestive system	England	1.82	7867	425531
211.0	Benign neoplasm of other parts of digestive system	Scotland	0.87	302	34402
211.0	Benign neoplasm of other parts of digestive system	Wales	1.22	247	19943
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Total	0.03	166	497444
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	England	0.03	148	441393
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Scotland	0.02	8	35479
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Wales	0.05	10	20572
597.1	Urethral stricture (not specified as infectious)	Total	0.96	4663	480785
597.1	Urethral stricture (not specified as infectious)	England	0.94	4062	426738
597.1	Urethral stricture (not specified as infectious)	Scotland	1.04	360	34140
597.1	Urethral stricture (not specified as infectious)	Wales	1.2	241	19907
569.2	Gastrointestinal complications	Total	0.15	720	469177
569.2	Gastrointestinal complications	England	0.16	668	415648
569.2	Gastrointestinal complications	Scotland	0.06	22	33925
569.2	Gastrointestinal complications	Wales	0.15	30	19604
527.0	Diseases of the salivary glands	Total	0.03	136	492610
527.0	Diseases of the salivary glands	England	0.03	126	436800
527.0	Diseases of the salivary glands	Scotland	0.02	6	35337
527.0	Diseases of the salivary glands	Wales	0.02	4	20473
733.8	Malunion and nonunion of fracture	Total	0.04	198	483416
733.8	Malunion and nonunion of fracture	England	0.04	189	428528
733.8	Malunion and nonunion of fracture	Scotland	0.02	7	34708
733.8	Malunion and nonunion of fracture	Wales	0.01	2	20180
250.21	Type 2 diabetes with ketoacidosis	Total	0.05	225	468659
250.21	Type 2 diabetes with ketoacidosis	England	0.05	206	415021
250.21	Type 2 diabetes with ketoacidosis	Scotland	0.04	15	34260
250.21	Type 2 diabetes with ketoacidosis	Wales	0.02	4	19378
770.0	Myalgia and myositis unspecified	Total	0.05	248	500180
770.0	Myalgia and myositis unspecified	England	0.05	237	443824
770.0	Myalgia and myositis unspecified	Scotland	0.03	10	35645
770.0	Myalgia and myositis unspecified	Wales	0.0	1	20711
567.0	Peritonitis and retroperitoneal infections	Total	0.27	1292	469177
567.0	Peritonitis and retroperitoneal infections	England	0.28	1167	415648
567.0	Peritonitis and retroperitoneal infections	Scotland	0.24	81	33925
567.0	Peritonitis and retroperitoneal infections	Wales	0.22	44	19604
38.0	Septicemia	Total	1.1	5312	477621
38.0	Septicemia	England	1.1	4724	423848
38.0	Septicemia	Scotland	1.18	408	34080
38.0	Septicemia	Wales	0.91	180	19693
614.51	Cervicitis and endocervicitis	Total	0.29	1431	489046
614.51	Cervicitis and endocervicitis	England	0.3	1287	433752
614.51	Cervicitis and endocervicitis	Scotland	0.07	25	35155
614.51	Cervicitis and endocervicitis	Wales	0.59	119	20139
242.2	Toxic multinodular goiter	Total	0.03	140	474858
242.2	Toxic multinodular goiter	England	0.03	128	420321
242.2	Toxic multinodular goiter	Scotland	0.01	5	34885
242.2	Toxic multinodular goiter	Wales	0.04	7	19652
619.2	Disorders of uterus, NEC	Total	0.9	4442	488638
619.2	Disorders of uterus, NEC	England	0.89	3908	433556
619.2	Disorders of uterus, NEC	Scotland	0.47	165	35142
619.2	Disorders of uterus, NEC	Wales	1.82	369	19940
189.12	Malignant neoplasm of renal pelvis	Total	0.02	104	494561
189.12	Malignant neoplasm of renal pelvis	England	0.02	92	438816
189.12	Malignant neoplasm of renal pelvis	Scotland	0.03	10	35259
189.12	Malignant neoplasm of renal pelvis	Wales	0.01	2	20486
496.3	Bronchiectasis	Total	0.69	3140	452084
496.3	Bronchiectasis	England	0.72	2904	399563
496.3	Bronchiectasis	Scotland	0.44	148	33846
496.3	Bronchiectasis	Wales	0.47	88	18675
472.0	Chronic pharyngitis and nasopharyngitis	Total	0.26	1237	475549
