Phenotype	PheCode	England	Scotland	Wales
Macular degeneration (senile) of retina NOS	362.29	0.86	0.41	0.56
Acute posthemorrhagic anemia	285.1	0.08	0.04	0.11
Human immunodeficiency virus [HIV] disease	71.0	0.03	0.01	0.0
Toxic effect of venom	913.0	0.03	0.02	0.02
Iron deficiency anemia secondary to blood loss (chronic)	280.2	0.15	0.14	0.17
Disorders of refraction and accommodation; blindness and low vision	367.0	0.03	0.01	0.0
Rheumatism, unspecified and fibrositis	729.1	0.11	0.02	0.06
Benign neoplasm of adrenal gland	227.1	0.06	0.04	0.04
Benign neoplasm of other parts of digestive system	211.0	1.82	0.87	1.22
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	750.22	0.03	0.02	0.05
Urethral stricture (not specified as infectious)	597.1	0.94	1.04	1.2
Gastrointestinal complications	569.2	0.16	0.06	0.15
Diseases of the salivary glands	527.0	0.03	0.02	0.02
Malunion and nonunion of fracture	733.8	0.04	0.02	0.01
Type 2 diabetes with ketoacidosis	250.21	0.05	0.04	0.02
Myalgia and myositis unspecified	770.0	0.05	0.03	0.0
Peritonitis and retroperitoneal infections	567.0	0.28	0.24	0.22
Septicemia	38.0	1.1	1.18	0.91
Cervicitis and endocervicitis	614.51	0.3	0.07	0.59
Toxic multinodular goiter	242.2	0.03	0.01	0.04
Disorders of uterus, NEC	619.2	0.89	0.47	1.82
Malignant neoplasm of renal pelvis	189.12	0.02	0.03	0.01
Bronchiectasis	496.3	0.72	0.44	0.47
Chronic pharyngitis and nasopharyngitis	472.0	0.27	0.19	0.19
Other and unspecified disc disorder	722.9	1.23	0.39	1.17
Neoplasm of uncertain behavior	199.0	0.37	0.27	0.26
Secondary malignancy of lymph nodes	198.1	1.78	1.86	1.88
Broken tooth	873.0	0.03	0.01	0.01
Cushing's syndrome	255.11	0.03	0.04	0.03
Malignant neoplasm of gallbladder and extrahepatic bile ducts	159.3	0.06	0.08	0.06
Other specified diseases of the salivary glands	527.8	0.04	0.03	0.01
Gastroesophageal laceration-hemorrhage syndrome	530.7	0.1	0.12	0.09
Hormones and synthetic substitutes causing adverse effects in therapeutic use	962.3	0.12	0.04	0.1
Obesity	278.1	4.11	1.16	2.04
Myocarditis	420.1	0.03	0.02	0.03
Irregular menstrual cycle/bleeding	626.1	0.45	0.54	0.49
Chronic inflammatory pelvic disease	614.32	0.12	0.04	0.1
Intestinal helminthiases	134.1	0.03	0.04	0.02
Cancer of liver and intrahepatic bile duct	155.0	0.09	0.09	0.08
Pleurisy; pleural effusion	507.0	2.1	1.92	1.99
Cancer of other lymphoid, histiocytic tissue	202.0	0.36	0.19	0.31
Abscess or ulceration of vulva	614.54	0.07	0.06	0.09
Osteoarthritis; localized	740.1	3.05	1.11	2.71
Von willebrand's disease	286.11	0.03	0.03	0.01
Nevus, non-neoplastic	217.1	0.14	0.45	0.22
Cancer within the respiratory system	165.0	0.34	0.37	0.27
Glucocorticoid deficiency	255.21	0.11	0.08	0.13
Disorders of the autonomic nervous system	337.0	0.06	0.03	0.05
Generalized convulsive epilepsy	345.11	0.13	0.1	0.09
Alzheimer's disease	290.11	0.2	0.14	0.15
Antepartum hemorrhage, abruptio placentae, and placenta previa	635.2	0.26	0.0	0.24
Osteoporosis NOS	743.11	1.28	0.09	0.63
Lymphadenitis	289.4	0.81	0.75	0.77
Ventral hernia	550.5	1.13	1.02	0.99
Fracture of hand or wrist	804.0	0.16	0.04	0.02
Other hypertrophic cardiomyopathy	425.12	0.06	0.04	0.06
Cholangitis	575.1	0.18	0.13	0.15
Abdominal aortic aneurysm	442.11	0.3	0.21	0.2
Duodenal ulcer	531.3	0.82	0.72	0.6
Syncope and collapse	788.0	2.67	2.47	2.7
Primary open angle glaucoma	365.11	0.4	0.25	0.3
Circulatory disease NEC	459.9	5.29	2.78	5.13
Internal derangement of knee	835.0	1.1	0.45	0.84
Lipoma of skin and subcutaneous tissue	214.1	1.37	1.14	1.11
Cancer of brain	191.11	0.14	0.19	0.17
Other unspecified back disorders	724.9	0.15	0.03	0.08
Fever of unknown origin	783.0	1.19	1.03	1.34
Other cardiac conduction disorders	426.8	0.02	0.02	0.02
Polyneuropathy in diabetes	250.6	0.15	0.07	0.18
Nonsenile Cataract	366.1	0.03	0.0	0.01
Coronary atherosclerosis	411.4	5.77	5.97	5.53
Other disorders of stomach and duodenum	537.0	1.13	0.94	0.93
Cellulitis and abscess of face/neck	681.2	0.14	0.16	0.12
Diaphragmatic hernia	550.2	8.56	5.45	6.68
Neurological disorders	292.0	0.18	0.13	0.09
Mycoses	117.0	0.05	0.02	0.03
Bronchopneumonia and lung abscess	480.5	0.12	0.18	0.13
Exophthalmos	242.3	0.04	0.03	0.06
Benign neoplasm of skin	216.0	2.29	1.48	1.93
Disorders of penis	604.0	0.23	0.12	0.19
Other inflammatory disorders of male genital organs	601.8	0.08	0.1	0.07
Bundle branch block	426.3	0.11	0.06	0.08
Keratitis	370.0	0.04	0.03	0.03
Cholesteatoma	385.3	0.14	0.14	0.16
Extrapyramidal disease and abnormal movement disorders	333.0	0.12	0.03	0.07
Sarcoidosis	697.0	0.18	0.15	0.19
Salicylates causing adverse effects in therapeutic use	965.3	0.11	0.09	0.11
Acute pain	338.1	0.13	0.06	0.09
Endocarditis	420.3	0.22	0.12	0.2
Occlusion and stenosis of precerebral arteries	433.1	0.31	0.34	0.26
Phobia	300.13	0.26	0.0	0.08
Splenomegaly	579.2	0.15	0.1	0.17
Varicose veins of lower extremity, symptomtic	454.11	0.24	0.15	0.18
Other chronic nonalcoholic liver disease	571.5	0.61	0.38	0.26
Epilepsy, recurrent seizures, convulsions	345.0	0.99	0.59	0.88
Obsessive-compulsive disorders	300.3	0.05	0.01	0.06
Other diseases of respiratory system, NEC	519.8	2.71	3.24	2.58
Otitis media	381.1	0.29	0.22	0.24
Secondary malignancy of brain/spine	198.5	0.28	0.39	0.3
