PheCode	Phenotype	Age	Prevalence	Case	Controls
362.29	Macular degeneration (senile) of retina NOS	Total	0.81	3935	481288
362.29	Macular degeneration (senile) of retina NOS	Asian	1.01	95	9300
362.29	Macular degeneration (senile) of retina NOS	Black	0.8	61	7589
362.29	Macular degeneration (senile) of retina NOS	Chinese	0.71	11	1528
362.29	Macular degeneration (senile) of retina NOS	Mixed	0.49	14	2817
362.29	Macular degeneration (senile) of retina NOS	Other	0.89	55	6149
362.29	Macular degeneration (senile) of retina NOS	White	0.81	3699	453905
285.1	Acute posthemorrhagic anemia	Total	0.08	366	470418
285.1	Acute posthemorrhagic anemia	Asian	0.07	6	8776
285.1	Acute posthemorrhagic anemia	Black	0.09	6	6955
285.1	Acute posthemorrhagic anemia	Chinese	0.13	2	1495
285.1	Acute posthemorrhagic anemia	Mixed	0.11	3	2702
285.1	Acute posthemorrhagic anemia	Other	0.12	7	5923
285.1	Acute posthemorrhagic anemia	White	0.08	342	444567
71.0	Human immunodeficiency virus [HIV] disease	Total	0.02	115	492293
71.0	Human immunodeficiency virus [HIV] disease	Asian	0.01	1	9640
71.0	Human immunodeficiency virus [HIV] disease	Black	0.23	18	7808
71.0	Human immunodeficiency virus [HIV] disease	Chinese	0.0	0	1527
71.0	Human immunodeficiency virus [HIV] disease	Mixed	0.03	1	2862
71.0	Human immunodeficiency virus [HIV] disease	Other	0.08	5	6239
71.0	Human immunodeficiency virus [HIV] disease	White	0.02	90	464217
913.0	Toxic effect of venom	Total	0.03	162	500266
913.0	Toxic effect of venom	Asian	0.01	1	9822
913.0	Toxic effect of venom	Black	0.07	6	8013
913.0	Toxic effect of venom	Chinese	0.0	0	1569
913.0	Toxic effect of venom	Mixed	0.03	1	2907
913.0	Toxic effect of venom	Other	0.0	0	6422
913.0	Toxic effect of venom	White	0.03	154	471533
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Total	0.15	725	470418
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Asian	0.3	26	8776
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Black	0.74	52	6955
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Chinese	0.13	2	1495
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Mixed	0.11	3	2702
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Other	0.25	15	5923
280.2	Iron deficiency anemia secondary to blood loss (chronic)	White	0.14	627	444567
367.0	Disorders of refraction and accommodation; blindness and low vision	Total	0.03	142	496505
367.0	Disorders of refraction and accommodation; blindness and low vision	Asian	0.04	4	9751
367.0	Disorders of refraction and accommodation; blindness and low vision	Black	0.03	2	7969
367.0	Disorders of refraction and accommodation; blindness and low vision	Chinese	0.0	0	1553
367.0	Disorders of refraction and accommodation; blindness and low vision	Mixed	0.0	0	2890
367.0	Disorders of refraction and accommodation; blindness and low vision	Other	0.03	2	6369
367.0	Disorders of refraction and accommodation; blindness and low vision	White	0.03	134	467973
729.1	Rheumatism, unspecified and fibrositis	Total	0.1	467	470973
729.1	Rheumatism, unspecified and fibrositis	Asian	0.1	9	9257
729.1	Rheumatism, unspecified and fibrositis	Black	0.12	9	7566
729.1	Rheumatism, unspecified and fibrositis	Chinese	0.0	0	1508
729.1	Rheumatism, unspecified and fibrositis	Mixed	0.07	2	2738
729.1	Rheumatism, unspecified and fibrositis	Other	0.07	4	6034
729.1	Rheumatism, unspecified and fibrositis	White	0.1	443	443870
227.1	Benign neoplasm of adrenal gland	Total	0.06	293	498117
227.1	Benign neoplasm of adrenal gland	Asian	0.02	2	9776
227.1	Benign neoplasm of adrenal gland	Black	0.13	10	7938
227.1	Benign neoplasm of adrenal gland	Chinese	0.13	2	1560
227.1	Benign neoplasm of adrenal gland	Mixed	0.1	3	2893
227.1	Benign neoplasm of adrenal gland	Other	0.08	5	6378
227.1	Benign neoplasm of adrenal gland	White	0.06	271	469572
211.0	Benign neoplasm of other parts of digestive system	Total	1.72	8416	479876
211.0	Benign neoplasm of other parts of digestive system	Asian	1.64	159	9535
211.0	Benign neoplasm of other parts of digestive system	Black	0.94	74	7825
211.0	Benign neoplasm of other parts of digestive system	Chinese	0.97	15	1527
211.0	Benign neoplasm of other parts of digestive system	Mixed	0.98	28	2828
211.0	Benign neoplasm of other parts of digestive system	Other	1.35	85	6197
211.0	Benign neoplasm of other parts of digestive system	White	1.75	8055	451964
