Phenotype	PheCode	Asian	Chinese	Black	Mixed	White	Other
Macular degeneration (senile) of retina NOS	362.29	1.01	0.71	0.8	0.49	0.81	0.89
Acute posthemorrhagic anemia	285.1	0.07	0.13	0.09	0.11	0.08	0.12
Human immunodeficiency virus [HIV] disease	71.0	0.01	0.0	0.23	0.03	0.02	0.08
Toxic effect of venom	913.0	0.01	0.0	0.07	0.03	0.03	0.0
Iron deficiency anemia secondary to blood loss (chronic)	280.2	0.3	0.13	0.74	0.11	0.14	0.25
Disorders of refraction and accommodation; blindness and low vision	367.0	0.04	0.0	0.03	0.0	0.03	0.03
Rheumatism, unspecified and fibrositis	729.1	0.1	0.0	0.12	0.07	0.1	0.07
Benign neoplasm of adrenal gland	227.1	0.02	0.13	0.13	0.1	0.06	0.08
Benign neoplasm of other parts of digestive system	211.0	1.64	0.97	0.94	0.98	1.75	1.35
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	750.22	0.0	0.0	0.03	0.07	0.03	0.02
Urethral stricture (not specified as infectious)	597.1	1.66	0.45	0.9	0.92	0.95	1.09
Gastrointestinal complications	569.2	0.12	0.07	0.25	0.22	0.15	0.13
Diseases of the salivary glands	527.0	0.03	0.13	0.01	0.0	0.03	0.03
Malunion and nonunion of fracture	733.8	0.05	0.0	0.01	0.0	0.04	0.0
Type 2 diabetes with ketoacidosis	250.21	0.14	0.0	0.36	0.15	0.04	0.07
Myalgia and myositis unspecified	770.0	0.09	0.0	0.12	0.07	0.05	0.03
Peritonitis and retroperitoneal infections	567.0	0.24	0.13	0.21	0.15	0.28	0.23
Septicemia	38.0	1.09	0.2	1.16	0.96	1.1	1.15
Cervicitis and endocervicitis	614.51	0.24	0.26	0.22	0.39	0.29	0.19
Toxic multinodular goiter	242.2	0.03	0.13	0.13	0.0	0.03	0.05
Disorders of uterus, NEC	619.2	0.8	1.04	1.22	1.06	0.9	0.95
Malignant neoplasm of renal pelvis	189.12	0.0	0.0	0.03	0.03	0.02	0.03
Bronchiectasis	496.3	0.53	0.54	0.41	0.42	0.7	0.63
Chronic pharyngitis and nasopharyngitis	472.0	0.3	0.2	0.3	0.33	0.26	0.31
Other and unspecified disc disorder	722.9	1.19	0.32	1.32	0.94	1.17	1.32
Neoplasm of uncertain behavior	199.0	0.3	0.27	0.42	0.23	0.36	0.41
Secondary malignancy of lymph nodes	198.1	0.81	1.14	1.09	1.45	1.83	1.49
Broken tooth	873.0	0.01	0.0	0.03	0.0	0.03	0.02
Cushing's syndrome	255.11	0.03	0.06	0.05	0.0	0.03	0.05
Malignant neoplasm of gallbladder and extrahepatic bile ducts	159.3	0.07	0.13	0.04	0.04	0.06	0.08
Other specified diseases of the salivary glands	527.8	0.0	0.13	0.04	0.0	0.04	0.06
Gastroesophageal laceration-hemorrhage syndrome	530.7	0.06	0.0	0.06	0.11	0.1	0.12
Hormones and synthetic substitutes causing adverse effects in therapeutic use	962.3	0.14	0.0	0.21	0.08	0.11	0.14
Obesity	278.1	3.85	0.96	6.0	4.13	3.78	4.58
Myocarditis	420.1	0.0	0.0	0.1	0.07	0.03	0.02
Irregular menstrual cycle/bleeding	626.1	0.38	0.28	0.28	0.42	0.46	0.47
Chronic inflammatory pelvic disease	614.32	0.11	0.07	0.34	0.36	0.11	0.24
Intestinal helminthiases	134.1	0.02	0.0	0.01	0.1	0.03	0.09
Cancer of liver and intrahepatic bile duct	155.0	0.08	0.2	0.1	0.04	0.09	0.1
Pleurisy; pleural effusion	507.0	1.77	0.58	1.71	1.64	2.11	1.87
Cancer of other lymphoid, histiocytic tissue	202.0	0.32	0.51	0.23	0.21	0.35	0.38
Abscess or ulceration of vulva	614.54	0.09	0.13	0.16	0.11	0.07	0.02
Osteoarthritis; localized	740.1	0.68	0.65	0.9	1.71	3.01	1.37
Von willebrand's disease	286.11	0.02	0.0	0.08	0.07	0.03	0.02
Nevus, non-neoplastic	217.1	0.06	0.0	0.11	0.11	0.17	0.11
Cancer within the respiratory system	165.0	0.12	0.0	0.2	0.38	0.35	0.23
Glucocorticoid deficiency	255.21	0.1	0.13	0.15	0.24	0.11	0.06
Disorders of the autonomic nervous system	337.0	0.01	0.0	0.03	0.04	0.06	0.03
Generalized convulsive epilepsy	345.11	0.07	0.13	0.12	0.07	0.13	0.13
Alzheimer's disease	290.11	0.11	0.06	0.18	0.18	0.2	0.1
Antepartum hemorrhage, abruptio placentae, and placenta previa	635.2	0.35	0.4	0.64	0.79	0.22	0.27
Osteoporosis NOS	743.11	0.99	0.57	0.59	0.65	1.19	1.11
Lymphadenitis	289.4	1.24	0.71	1.32	0.73	0.78	1.12
Ventral hernia	550.5	0.73	0.27	1.17	1.24	1.13	0.94
Fracture of hand or wrist	804.0	0.11	0.0	0.03	0.1	0.15	0.13
