PheCode	Phenotype	Variance	Maximum Difference
362.29	Macular degeneration (senile) of retina NOS	0.03	0.52
285.1	Acute posthemorrhagic anemia	0.0	0.06
71.0	Human immunodeficiency virus [HIV] disease	0.01	0.23
913.0	Toxic effect of venom	0.0	0.07
280.2	Iron deficiency anemia secondary to blood loss (chronic)	0.06	0.63
367.0	Disorders of refraction and accommodation; blindness and low vision	0.0	0.04
729.1	Rheumatism, unspecified and fibrositis	0.0	0.12
227.1	Benign neoplasm of adrenal gland	0.0	0.11
211.0	Benign neoplasm of other parts of digestive system	0.13	0.81
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	0.0	0.07
597.1	Urethral stricture (not specified as infectious)	0.15	1.21
569.2	Gastrointestinal complications	0.0	0.18
527.0	Diseases of the salivary glands	0.0	0.13
733.8	Malunion and nonunion of fracture	0.0	0.05
250.21	Type 2 diabetes with ketoacidosis	0.02	0.36
770.0	Myalgia and myositis unspecified	0.0	0.12
567.0	Peritonitis and retroperitoneal infections	0.0	0.15000000000000002
38.0	Septicemia	0.14	0.96
614.51	Cervicitis and endocervicitis	0.0	0.2
242.2	Toxic multinodular goiter	0.0	0.13
619.2	Disorders of uterus, NEC	0.02	0.41999999999999993
189.12	Malignant neoplasm of renal pelvis	0.0	0.03
496.3	Bronchiectasis	0.01	0.29
472.0	Chronic pharyngitis and nasopharyngitis	0.0	0.13
722.9	Other and unspecified disc disorder	0.14	1.0
199.0	Neoplasm of uncertain behavior	0.01	0.18999999999999997
198.1	Secondary malignancy of lymph nodes	0.13	1.02
873.0	Broken tooth	0.0	0.03
255.11	Cushing's syndrome	0.0	0.06
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.0	0.09
527.8	Other specified diseases of the salivary glands	0.0	0.13
530.7	Gastroesophageal laceration-hemorrhage syndrome	0.0	0.12
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	0.0	0.21
278.1	Obesity	2.72	5.04
420.1	Myocarditis	0.0	0.1
626.1	Irregular menstrual cycle/bleeding	0.01	0.18999999999999995
614.32	Chronic inflammatory pelvic disease	0.02	0.29
134.1	Intestinal helminthiases	0.0	0.1
155.0	Cancer of liver and intrahepatic bile duct	0.0	0.16
507.0	Pleurisy; pleural effusion	0.28	1.5299999999999998
202.0	Cancer of other lymphoid, histiocytic tissue	0.01	0.30000000000000004
614.54	Abscess or ulceration of vulva	0.0	0.14
