index	AsianG_Controls	BlackG_Controls	ChineseG_Controls	MixedG_Controls	OtherEthnicityG_Controls	WhiteG_Controls	AsianG_Cases	BlackG_Cases	ChineseG_Cases	MixedG_Cases	OtherEthnicityG_Cases	WhiteG_Cases	index	AsianG_Prevalence	BlackG_Prevalence	ChineseG_Prevalence	MixedG_Prevalence	OtherEthnicityG_Prevalence	WhiteG_Prevalence	index	African_Controls	Any other Asian background_Controls	Any other Black background_Controls	Any other mixed background_Controls	Any other white background_Controls	Asian or Asian British_Controls	Bangladeshi_Controls	Black or Black British_Controls	British_Controls	Caribbean_Controls	Chinese_Controls	Do not know_Controls	Indian_Controls	Irish_Controls	Mixed_Controls	Other ethnic group_Controls	Pakistani_Controls	Prefer not to answer_Controls	White_Controls	White and Asian_Controls	White and Black African_Controls	White and Black Caribbean_Controls	African_Cases	Any other Asian background_Cases	Any other Black background_Cases	Any other mixed background_Cases	Any other white background_Cases	Asian or Asian British_Cases	Bangladeshi_Cases	Black or Black British_Cases	British_Cases	Caribbean_Cases	Chinese_Cases	Do not know_Cases	Indian_Cases	Irish_Cases	Mixed_Cases	Other ethnic group_Cases	Pakistani_Cases	Prefer not to answer_Cases	White_Cases	White and Asian_Cases	White and Black African_Cases	White and Black Caribbean_Cases	index	African_Prevalence	Any other Asian background_Prevalence	Any other Black background_Prevalence	Any other mixed background_Prevalence	Any other white background_Prevalence	Asian or Asian British_Prevalence	Bangladeshi_Prevalence	Black or Black British_Prevalence	British_Prevalence	Caribbean_Prevalence	Chinese_Prevalence	Do not know_Prevalence	Indian_Prevalence	Irish_Prevalence	Mixed_Prevalence	Other ethnic group_Prevalence	Pakistani_Prevalence	Prefer not to answer_Prevalence	White_Prevalence	White and Asian_Prevalence	White and Black African_Prevalence	White and Black Caribbean_Prevalence	PheCode	Phenotype	Total_Prevalence	Total_Cases	Total_Controls
0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	16.0	14.0	2.0	2.0	9.0	623.0	Status	0.0016449059319420172	0.0017681232634503663	0.0012861736334405145	0.0006856359273225917	0.0014260814450958643	0.0013326972894691243	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	7.0	1.0	1.0		13.0				599.0	6.0	2.0		11.0	9.0	1.0	8.0	4.0	1.0	2.0			1.0	Status	0.0021033653846153845	0.0005567928730512249	0.008264462809917356	0.0	0.0008030639980232271	0.0	0.0	0.0	0.001368520375874745	0.0013504388926401081	0.0012861736334405145	0.0	0.0018774534903567162	0.0006909258406264394	0.020833333333333332	0.0017929179740026895	0.0022172949002217295	0.0006116207951070336	0.0035714285714285713	0.0	0.0	0.0016260162601626016	8.0	Intestinal infection	0.0013430099959467717	666	495235
0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	93.0	96.0	11.0	24.0	78.0	2658.0	Status	0.009485924112607099	0.012	0.007033248081841432	0.008166042871725076	0.012225705329153605	0.005661245388789968	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	45.0	8.0	2.0	12.0	82.0	1.0	7.0		2459.0	49.0	11.0	2.0	60.0	110.0	1.0	57.0	17.0	19.0	7.0	2.0	5.0	4.0	Status	0.013368983957219251	0.004437049362174155	0.01639344262295082	0.011776251226692836	0.005043981054315064	0.023809523809523808	0.029914529914529916	0.0	0.005594243321146877	0.010922871154703521	0.007033248081841432	0.009259259259259259	0.010155721056194989	0.008379675478022397	0.020833333333333332	0.012635779206384394	0.009356081452944413	0.011494252873563218	0.012389380530973451	0.0024096385542168677	0.01179245283018868	0.006472491909385114	8.5	Bacterial enteritis	0.005941448629552685	2960	495235
0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0	37.0	18.0	2.0	5.0	13.0	1318.0	Status	0.003978922464781159	0.0023628248884221582	0.0013149243918474688	0.0017618040873854828	0.002133245815556285	0.0029140273494069136	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0	7.0	5.0	1.0	2.0	34.0		3.0	1.0	1235.0	9.0	2.0		25.0	47.0		7.0	4.0	6.0	2.0		1.0	2.0	Status	0.00219435736677116	0.0028768699654775605	0.008333333333333333	0.0020242914979757085	0.0021573604060913707	0.0	0.013888888888888888	0.04	0.0029164019864593937	0.002101330842867149	0.0013149243918474688	0.0	0.004462691895751518	0.003750997605746209	0.0	0.001621120889300602	0.0023515579071134627	0.0038363171355498722	0.0037174721189591076	0.0	0.0024813895781637717	0.0033277870216306157	38.1	Gram negative septicemia	0.0029041101602159843	1393	478272
0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0			1.0	1.0	1.0	42.0	Status	0.0	0.0	0.0006435006435006435	0.0003429355281207133	0.00015865460891638903	8.99565638306075e-05	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0				1.0	1.0				40.0		1.0			1.0		1.0							Status	0.0	0.0	0.0	0.000992063492063492	6.181998021760633e-05	0.0	0.0	0.0	9.150386603834012e-05	0.0	0.0006435006435006435	0.0	0.0	7.681671531725304e-05	0.0	0.0002244668911335578	0.0	0.0	0.0	0.0	0.0	0.0	8.51	Intestinal e.coli	9.085769665643676e-05	45	495235
0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	15.0	11.0	1.0	7.0	12.0	964.0	Status	0.0015422578655151142	0.0013897662665824384	0.0006435006435006435	0.0023956194387405884	0.0019005384859043396	0.002060648035330281	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	5.0	2.0		5.0	25.0	1.0			906.0	6.0	1.0	1.0	10.0	33.0		8.0	2.0	3.0		1.0		1.0	Status	0.001503307276007216	0.0011129660545353367	0.0	0.004940711462450593	0.0015432098765432098	0.023809523809523808	0.0	0.0	0.002068464815550472	0.0013504388926401081	0.0006435006435006435	0.004651162790697674	0.001707067258449983	0.002528735632183908	0.0	0.0017929179740026895	0.0011098779134295228	0.0018326206475259622	0.0	0.0012062726176115801	0.0	0.0016260162601626016	8.52	Intestinal infection due to C. difficile	0.0020352849902769803	1010	495235
0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	1.0	1.0			1.0	76.0	Status	0.00010296540362438221	0.0001265022137887413	0.0	0.0	0.00015865460891638903	0.00016276669108167033	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0					1.0		1.0		73.0	1.0				2.0		1.0							Status	0.0	0.0	0.0	0.0	6.181998021760633e-05	0.0	0.0043859649122807015	0.0	0.00016698194993743895	0.0002253267237494367	0.0	0.0	0.0	0.00015362162992549352	0.0	0.0002244668911335578	0.0	0.0	0.0	0.0	0.0	0.0	8.7	Intestinal infection due to protozoa	0.00015949478512620278	79	495235
0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	37.0	23.0	1.0	9.0	19.0	1221.0	Status	0.0037956503898235535	0.0029014759682099156	0.0006435006435006435	0.0030779753761969904	0.0030058535041923747	0.0026085786130736577	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	6.0	2.0		7.0	24.0		1.0	1.0	1159.0	16.0	1.0		20.0	34.0		15.0	14.0	4.0	4.0		1.0	1.0	Status	0.0018034265103697023	0.0011129660545353367	0.0	0.006903353057199211	0.0014815729366010248	0.0	0.0043859649122807015	0.037037037037037035	0.0026445549321291745	0.003593083314619358	0.0006435006435006435	0.0	0.0034083162917518746	0.002605164355221822	0.0	0.003356455582904453	0.007717750826901874	0.002442002442002442	0.0071174377224199285	0.0	0.002380952380952381	0.0016260162601626016	8.6	Viral Enteritis	0.002638230170478003	1310	495235
0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0	76.0	35.0	3.0	4.0	20.0	200.0	Status	0.008138787748982652	0.0045841519318926	0.0019710906701708277	0.0014099400775467042	0.0032781511227667594	0.000443285007879391	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0	23.0	4.0		1.0	11.0		1.0		178.0	12.0	3.0		41.0	11.0		18.0	30.0	2.0			2.0	1.0	Status	0.007174048658764816	0.002302820955670697	0.0	0.0010131712259371835	0.0006989896422443922	0.0	0.004672897196261682	0.0	0.00042139153902606474	0.0027998133457769483	0.0019710906701708277	0.0	0.007297970808116768	0.0008804226028493677	0.0	0.004158004158004158	0.017371163867979156	0.001282051282051282	0.0	0.0	0.0049504950495049506	0.0016666666666666668	10.0	Tuberculosis	0.0007062117381584171	338	478272
0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0	276.0	205.0	25.0	52.0	156.0	8747.0	Status	0.028936884042776265	0.02626521460602178	0.016191709844559584	0.01802426343154246	0.025012025012025013	0.019026633371327144	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0	89.0	38.0	3.0	16.0	239.0	1.0	13.0	1.0	8154.0	112.0	25.0	1.0	163.0	339.0		112.0	61.0	43.0	15.0	18.0	8.0	10.0	Status	0.027200488997555013	0.021456804065499716	0.02459016393442623	0.015968063872255488	0.014970247416222987	0.023255813953488372	0.05752212389380531	0.04	0.018945783552438974	0.02553579571363429	0.016191709844559584	0.004694835680751174	0.028397212543554005	0.026438933083762283	0.0	0.0253221795161655	0.034698521046643914	0.026858213616489695	0.02722323049001815	0.022085889570552148	0.01951219512195122	0.016420361247947456	41.0	Bacterial infection NOS	0.019397908281785323	9461	478272
0	9525.0	7792.0	1554.0	2874.0	6232.0	457061.0	35.0	20.0	1.0	13.0	26.0	1921.0	Status	0.0036610878661087866	0.002560163850486431	0.0006430868167202572	0.004502944232767579	0.004154682007031001	0.004185349316530931	0	3293.0	1773.0	120.0	1000.0	15864.0	41.0	231.0	24.0	427950.0	4355.0	1554.0	211.0	5723.0	12703.0	47.0	4419.0	1757.0	1602.0	544.0	814.0	415.0	598.0	10.0	2.0		5.0	52.0				1787.0	10.0	1.0	2.0	27.0	78.0	1.0	13.0	6.0	11.0	4.0	3.0	2.0	2.0	Status	0.003027550711474417	0.0011267605633802818	0.0	0.004975124378109453	0.003267152550892184	0.0	0.0	0.0	0.004158357320872999	0.002290950744558992	0.0006430868167202572	0.009389671361502348	0.0046956521739130435	0.0061028088568969565	0.020833333333333332	0.0029332129963898917	0.003403289846851957	0.006819590824550527	0.0072992700729927005	0.0036719706242350062	0.004796163069544364	0.0033333333333333335	686.0	Other local infections of skin and subcutaneous tissue	0.00413917142657693	2016	485038
