Phenotype	PheCode	30-39	40-49	50-59	60-69	70-79
Intestinal infection	8.0	0.0	0.11	0.13	0.15	0.13
Bacterial enteritis	8.5	0.0	0.42	0.54	0.73	1.09
Gram negative septicemia	38.1	0.0	0.12	0.22	0.44	0.9
Intestinal e.coli	8.51	0.0	0.0	0.01	0.01	0.08
Intestinal infection due to C. difficile	8.52	0.0	0.09	0.14	0.31	0.42
Intestinal infection due to protozoa	8.7	0.0	0.01	0.02	0.02	0.0
Viral Enteritis	8.6	0.0	0.17	0.26	0.32	0.55
Tuberculosis	10.0	0.0	0.06	0.07	0.07	0.05
Bacterial infection NOS	41.0	0.0	1.06	1.65	2.63	3.72
Other local infections of skin and subcutaneous tissue	686.0	0.0	0.28	0.37	0.52	0.73
Bacterial pneumonia	480.1	0.0	0.14	0.26	0.44	0.71
Infection of the eye	369.0	0.0	0.05	0.07	0.1	0.09
Gram positive septicemia	38.2	0.0	0.09	0.14	0.21	0.09
Arthropathy associated with infections	711.0	0.0	0.0	0.0	0.0	0.0
Glossitis	529.1	0.0	0.05	0.09	0.1	0.0
Sepsis	994.2	0.0	0.47	0.81	1.45	2.15
Spirochetal infection	130.0	0.0	0.01	0.02	0.01	0.08
Viral infection	79.0	0.0	0.89	0.73	0.7	0.84
Diseases due to other mycobacteria	31.0	0.0	0.01	0.0	0.01	0.0
Infections specific to the perinatal period	657.0	0.0	0.0	0.0	0.0	0.0
Complications following abortion or ectopic and molar pregnancies	639.0	0.0	0.05	0.0	0.0	0.0
Acute upper respiratory infections of multiple or unspecified sites	465.0	0.0	0.35	0.35	0.42	0.5
Streptococcus infection	41.2	0.0	0.41	0.42	0.61	1.26
Meningitis	320.0	0.0	0.14	0.11	0.09	0.08
Carditis	420.0	0.0	0.0	0.0	0.0	0.0
Septicemia	38.0	0.0	0.5	0.88	1.6	2.44
Arthropod-borne diseases	133.0	0.0	0.06	0.04	0.03	0.04
Staphylococcus infections	41.1	0.0	0.66	0.84	1.19	1.83
Sexually transmitted infections (not HIV or hepatitis)	90.0	0.0	0.01	0.02	0.01	0.0
Gonococcal infections	90.2	0.0	0.0	0.0	0.0	0.0
Venereal diseases due to Chlamydia trachomatis	90.3	0.0	0.01	0.0	0.0	0.0
Protozoan infection	131.0	0.0	0.0	0.0	0.01	0.0
Herpes simplex	54.0	0.0	0.07	0.07	0.07	0.04
Viral warts & HPV	78.0	0.0	0.26	0.23	0.26	0.25
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	528.0	0.0	0.39	0.57	0.65	0.67
Lyme disease	130.1	0.0	0.01	0.01	0.01	0.0
