PheCode	Phenotype	Ethnicity	Prevalence	Cases	Controls
8.0	Intestinal infection	Asian (all)	0.17	16.0	9670.0
8.5	Bacterial enteritis	Asian (all)	0.94	92.0	9670.0
38.1	Gram negative septicemia	Asian (all)	0.4	37.0	9220.0
8.51	Intestinal e.coli	Asian (all)	0.0	0.0	9670.0
8.52	Intestinal infection due to C. difficile	Asian (all)	0.14	14.0	9670.0
8.7	Intestinal infection due to protozoa	Asian (all)	0.01	1.0	9670.0
8.6	Viral Enteritis	Asian (all)	0.38	37.0	9670.0
10.0	Tuberculosis	Asian (all)	0.82	76.0	9220.0
41.0	Bacterial infection NOS	Asian (all)	2.9	275.0	9220.0
686.0	Other local infections of skin and subcutaneous tissue	Asian (all)	0.37	35.0	9484.0
480.1	Bacterial pneumonia	Asian (all)	0.42	40.0	9481.0
369.0	Infection of the eye	Asian (all)	0.18	17.0	9489.0
38.2	Gram positive septicemia	Asian (all)	0.22	20.0	9220.0
711.0	Arthropathy associated with infections	Asian (all)	0.0	0.0	8918.0
529.1	Glossitis	Asian (all)	0.08	8.0	9671.0
994.2	Sepsis	Asian (all)	0.96	94.0	9729.0
130.0	Spirochetal infection	Asian (all)	0.01	1.0	9801.0
79.0	Viral infection	Asian (all)	0.89	87.0	9640.0
31.0	Diseases due to other mycobacteria	Asian (all)	0.0	0.0	9220.0
657.0	Infections specific to the perinatal period	Asian (all)	0.0	0.0	9823.0
639.0	Complications following abortion or ectopic and molar pregnancies	Asian (all)	0.02	2.0	9508.0
465.0	Acute upper respiratory infections of multiple or unspecified sites	Asian (all)	0.4	39.0	9745.0
41.2	Streptococcus infection	Asian (all)	0.44	41.0	9220.0
320.0	Meningitis	Asian (all)	0.09	9.0	9795.0
420.0	Carditis	Asian (all)	0.0	0.0	9725.0
38.0	Septicemia	Asian (all)	1.09	102.0	9220.0
133.0	Arthropod-borne diseases	Asian (all)	0.1	10.0	9801.0
41.1	Staphylococcus infections	Asian (all)	0.86	80.0	9220.0
90.0	Sexually transmitted infections (not HIV or hepatitis)	Asian (all)	0.01	1.0	9821.0
90.2	Gonococcal infections	Asian (all)	0.01	1.0	9821.0
90.3	Venereal diseases due to Chlamydia trachomatis	Asian (all)	0.0	0.0	9821.0
131.0	Protozoan infection	Asian (all)	0.0	0.0	9801.0
54.0	Herpes simplex	Asian (all)	0.05	5.0	9640.0
78.0	Viral warts & HPV	Asian (all)	0.18	17.0	9640.0
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	Asian (all)	0.74	72.0	9671.0
130.1	Lyme disease	Asian (all)	0.0	0.0	9801.0
136.0	Other infectious and parasitic diseases	Asian (all)	0.07	7.0	9801.0
324.0	Other CNS infection and poliomyelitis	Asian (all)	0.14	14.0	9795.0
324.1	Jakob-Creutzfeldt disease	Asian (all)	0.0	0.0	9795.0
323.0	Encephalitis	Asian (all)	0.05	5.0	9795.0
386.2	Peripheral or central vertigo	Asian (all)	0.17	16.0	9578.0
369.2	Eye infection, viral	Asian (all)	0.04	4.0	9489.0
79.1	Varicella infection	Asian (all)	0.07	7.0	9640.0
480.2	Viral pneumonia	Asian (all)	0.03	3.0	9481.0
53.0	Herpes zoster	Asian (all)	0.08	8.0	9640.0
53.1	Herpes zoster with nervous system complications	Asian (all)	0.04	4.0	9640.0
381.1	Otitis media	Asian (all)	0.4	39.0	9683.0
70.1	Viral hepatitis A	Asian (all)	0.01	1.0	9640.0
70.2	Viral hepatitis B	Asian (all)	0.16	15.0	9640.0
70.0	Viral hepatitis	Asian (all)	0.11	11.0	9640.0
70.3	Viral hepatitis C	Asian (all)	0.11	11.0	9640.0
71.1	HIV infection, symptomatic	Asian (all)	0.02	2.0	9640.0
112.0	Candidiasis	Asian (all)	0.68	67.0	9738.0
480.3	Pneumonia due to fungus (mycoses)	Asian (all)	0.03	3.0	9481.0
230.0	Kaposi's sarcoma	Asian (all)	0.0	0.0	9823.0
202.2	Non-Hodgkins lymphoma	Asian (all)	0.28	27.0	9736.0
195.1	Malignant neoplasm, other	Asian (all)	2.5	234.0	9112.0
348.8	Encephalopathy, not elsewhere classified	Asian (all)	0.04	4.0	9490.0
504.0	Other alveolar and parietoalveolar pneumonopathy	Asian (all)	0.21	20.0	9483.0
798.0	Malaise and fatigue	Asian (all)	1.09	107.0	9713.0
260.1	Cachexia	Asian (all)	0.01	1.0	9581.0
577.1	Acute pancreatitis	Asian (all)	0.33	32.0	9769.0
79.2	Infectious mononucleosis	Asian (all)	0.01	1.0	9640.0
110.1	Dermatophytosis	Asian (all)	0.02	2.0	9738.0
110.11	Dermatophytosis of nail	Asian (all)	0.02	2.0	9738.0
110.12	Althete's foot	Asian (all)	0.05	5.0	9738.0
110.13	Dermatophytosis of the body	Asian (all)	0.01	1.0	9738.0
110.2	Dermatomycoses	Asian (all)	0.0	0.0	9738.0
112.3	Candidiasis of skin and nails	Asian (all)	0.03	3.0	9738.0
420.3	Endocarditis	Asian (all)	0.28	27.0	9725.0
117.2	Coccidioidomycosis	Asian (all)	0.0	0.0	9738.0
117.1	Histoplasmosis	Asian (all)	0.0	0.0	9738.0
117.3	Blastomycotic infection	Asian (all)	0.0	0.0	9738.0
117.0	Mycoses	Asian (all)	0.03	3.0	9738.0
117.4	Aspergillosis	Asian (all)	0.03	3.0	9738.0
580.2	Nephrotic syndrome without mention of glomerulonephritis	Asian (all)	0.56	53.0	9331.0
480.0	Pneumonia	Asian (all)	1.33	128.0	9481.0
134.0	Helminthiases	Asian (all)	0.0	0.0	9801.0
134.1	Intestinal helminthiases	Asian (all)	0.02	2.0	9801.0
132.1	Pediculosis and phthirus infestation	Asian (all)	0.01	1.0	9801.0
132.0	Infestation (lice, mites)	Asian (all)	0.02	2.0	9801.0
41.4	E. coli	Asian (all)	1.2	112.0	9220.0
145.1	Cancer of lip	Asian (all)	0.0	0.0	9769.0
145.2	Cancer of tongue	Asian (all)	0.08	8.0	9769.0
145.4	Cancer of the gums	Asian (all)	0.02	2.0	9769.0
145.5	Cancer of the mouth floor	Asian (all)	0.02	2.0	9769.0
145.0	Cancer of mouth	Asian (all)	0.08	8.0	9769.0
149.0	Cancer of larynx, pharynx, nasal cavities	Asian (all)	0.02	2.0	9769.0
145.3	Cancer of major salivary glands	Asian (all)	0.03	3.0	9769.0
149.1	Cancer of oropharynx	Asian (all)	0.04	4.0	9769.0
149.2	Cancer of nasopharynx	Asian (all)	0.03	3.0	9769.0
149.3	Cancer of hypopharynx	Asian (all)	0.01	1.0	9769.0
150.0	Cancer of esophagus	Asian (all)	0.05	5.0	9486.0
151.0	Cancer of stomach	Asian (all)	0.14	13.0	9486.0
159.2	Malignant neoplasm of small intestine, including duodenum	Asian (all)	0.03	3.0	9486.0
153.2	Colon cancer	Asian (all)	0.45	42.0	9261.0
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	Asian (all)	0.27	25.0	9261.0
153.0	Colorectal cancer	Asian (all)	0.0	0.0	9261.0
155.0	Cancer of liver and intrahepatic bile duct	Asian (all)	0.08	8.0	9486.0
