Phenotype	PheCode	Asian (all)	Black (all)	Chinese (all)	Mixed (all)	White (all)	Other
Intestinal infection	8.0	0.17	0.18	0.13	0.03	0.13	0.14
Bacterial enteritis	8.5	0.94	1.2	0.7	0.8	0.57	1.22
Gram negative septicemia	38.1	0.4	0.22	0.13	0.18	0.29	0.21
Intestinal e.coli	8.51	0.0	0.0	0.06	0.03	0.01	0.02
Intestinal infection due to C. difficile	8.52	0.14	0.14	0.06	0.24	0.21	0.19
Intestinal infection due to protozoa	8.7	0.01	0.01	0.0	0.0	0.02	0.02
Viral Enteritis	8.6	0.38	0.28	0.06	0.31	0.26	0.3
Tuberculosis	10.0	0.82	0.46	0.2	0.14	0.04	0.33
Bacterial infection NOS	41.0	2.9	2.62	1.62	1.83	1.9	2.5
Other local infections of skin and subcutaneous tissue	686.0	0.37	0.26	0.06	0.42	0.42	0.42
Bacterial pneumonia	480.1	0.42	0.38	0.26	0.21	0.3	0.48
Infection of the eye	369.0	0.18	0.14	0.19	0.14	0.07	0.1
Gram positive septicemia	38.2	0.22	0.14	0.2	0.18	0.16	0.07
Arthropathy associated with infections	711.0	0.0	0.0	0.0	0.0	0.0	0.02
Glossitis	529.1	0.08	0.08	0.13	0.17	0.09	0.06
Sepsis	994.2	0.96	1.0	0.19	0.89	1.02	1.04
Spirochetal infection	130.0	0.01	0.0	0.0	0.0	0.01	0.02
Viral infection	79.0	0.89	1.0	0.13	0.76	0.75	0.89
Diseases due to other mycobacteria	31.0	0.0	0.0	0.07	0.04	0.01	0.0
Infections specific to the perinatal period	657.0	0.0	0.0	0.0	0.0	0.0	0.0
Complications following abortion or ectopic and molar pregnancies	639.0	0.02	0.03	0.0	0.11	0.01	0.03
Acute upper respiratory infections of multiple or unspecified sites	465.0	0.4	0.53	0.7	0.31	0.37	0.55
Streptococcus infection	41.2	0.44	0.5	0.2	0.36	0.51	0.6
Meningitis	320.0	0.09	0.16	0.06	0.1	0.11	0.11
Carditis	420.0	0.0	0.0	0.0	0.0	0.0	0.0
Septicemia	38.0	1.09	1.16	0.2	0.96	1.1	1.15
Arthropod-borne diseases	133.0	0.1	1.12	0.0	0.14	0.02	0.27
Staphylococcus infections	41.1	0.86	0.95	0.52	0.75	0.95	1.03
Sexually transmitted infections (not HIV or hepatitis)	90.0	0.01	0.04	0.0	0.0	0.01	0.03
Gonococcal infections	90.2	0.01	0.0	0.0	0.0	0.0	0.0
Venereal diseases due to Chlamydia trachomatis	90.3	0.0	0.02	0.0	0.0	0.0	0.0
Protozoan infection	131.0	0.0	0.0	0.0	0.03	0.01	0.03
Herpes simplex	54.0	0.05	0.08	0.0	0.0	0.07	0.08
Viral warts & HPV	78.0	0.18	0.22	0.07	0.28	0.25	0.26
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	528.0	0.74	0.42	0.38	0.49	0.56	0.55
Lyme disease	130.1	0.0	0.0	0.0	0.0	0.01	0.0
Other infectious and parasitic diseases	136.0	0.07	0.06	0.0	0.1	0.07	0.09
Other CNS infection and poliomyelitis	324.0	0.14	0.14	0.06	0.03	0.08	0.19
Jakob-Creutzfeldt disease	324.1	0.0	0.0	0.0	0.0	0.0	0.02
Encephalitis	323.0	0.05	0.09	0.0	0.07	0.08	0.08
Peripheral or central vertigo	386.2	0.17	0.1	0.06	0.17	0.13	0.21
Eye infection, viral	369.2	0.04	0.03	0.07	0.04	0.04	0.06
Varicella infection	79.1	0.07	0.01	0.0	0.0	0.02	0.05
Viral pneumonia	480.2	0.03	0.01	0.0	0.0	0.02	0.02
Herpes zoster	53.0	0.08	0.08	0.07	0.07	0.11	0.11
Herpes zoster with nervous system complications	53.1	0.04	0.05	0.2	0.0	0.03	0.06
Otitis media	381.1	0.4	0.18	0.51	0.07	0.28	0.19
Viral hepatitis A	70.1	0.01	0.04	0.0	0.0	0.02	0.05
Viral hepatitis B	70.2	0.16	0.42	1.8	0.0	0.04	0.34
