PheCode	Phenotype	Variance	Maximum Difference
8.0	Intestinal infection	0.0	0.15
8.5	Bacterial enteritis	0.07	0.65
38.1	Gram negative septicemia	0.01	0.27
8.51	Intestinal e.coli	0.0	0.06
8.52	Intestinal infection due to C. difficile	0.0	0.18
8.7	Intestinal infection due to protozoa	0.0	0.02
8.6	Viral Enteritis	0.01	0.32
10.0	Tuberculosis	0.08	0.7799999999999999
41.0	Bacterial infection NOS	0.26	1.2799999999999998
686.0	Other local infections of skin and subcutaneous tissue	0.02	0.36
480.1	Bacterial pneumonia	0.01	0.27
369.0	Infection of the eye	0.0	0.12
38.2	Gram positive septicemia	0.0	0.15
711.0	Arthropathy associated with infections	0.0	0.02
529.1	Glossitis	0.0	0.11000000000000001
994.2	Sepsis	0.11	0.8500000000000001
130.0	Spirochetal infection	0.0	0.02
79.0	Viral infection	0.1	0.87
31.0	Diseases due to other mycobacteria	0.0	0.07
657.0	Infections specific to the perinatal period	0.0	0.0
639.0	Complications following abortion or ectopic and molar pregnancies	0.0	0.11
465.0	Acute upper respiratory infections of multiple or unspecified sites	0.02	0.38999999999999996
41.2	Streptococcus infection	0.02	0.39999999999999997
320.0	Meningitis	0.0	0.1
420.0	Carditis	0.0	0.0
38.0	Septicemia	0.14	0.96
133.0	Arthropod-borne diseases	0.18	1.12
41.1	Staphylococcus infections	0.03	0.51
90.0	Sexually transmitted infections (not HIV or hepatitis)	0.0	0.04
90.2	Gonococcal infections	0.0	0.01
90.3	Venereal diseases due to Chlamydia trachomatis	0.0	0.02
131.0	Protozoan infection	0.0	0.03
54.0	Herpes simplex	0.0	0.08
78.0	Viral warts & HPV	0.01	0.21000000000000002
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	0.02	0.36
130.1	Lyme disease	0.0	0.01
136.0	Other infectious and parasitic diseases	0.0	0.1
324.0	Other CNS infection and poliomyelitis	0.0	0.16
324.1	Jakob-Creutzfeldt disease	0.0	0.02
323.0	Encephalitis	0.0	0.09
386.2	Peripheral or central vertigo	0.0	0.15
369.2	Eye infection, viral	0.0	0.04000000000000001
79.1	Varicella infection	0.0	0.07
480.2	Viral pneumonia	0.0	0.03
53.0	Herpes zoster	0.0	0.039999999999999994
53.1	Herpes zoster with nervous system complications	0.0	0.2
381.1	Otitis media	0.03	0.44
70.1	Viral hepatitis A	0.0	0.05
70.2	Viral hepatitis B	0.46	1.8
70.0	Viral hepatitis	0.12	0.94
70.3	Viral hepatitis C	0.03	0.4700000000000001
71.1	HIV infection, symptomatic	0.02	0.33999999999999997
112.0	Candidiasis	0.01	0.34
480.3	Pneumonia due to fungus (mycoses)	0.0	0.08
