PheCode	Phenotype	Socio-economic Quintile	Prevalence	Cases	Controls
8.0	Intestinal infection	1	0.11	107.0	99338.0
8.5	Bacterial enteritis	1	0.42	421.0	99338.0
38.1	Gram negative septicemia	1	0.24	235.0	96535.0
8.51	Intestinal e.coli	1	0.01	8.0	99338.0
8.52	Intestinal infection due to C. difficile	1	0.17	166.0	99338.0
8.7	Intestinal infection due to protozoa	1	0.01	10.0	99338.0
8.6	Viral Enteritis	1	0.21	207.0	99338.0
10.0	Tuberculosis	1	0.04	34.0	96535.0
41.0	Bacterial infection NOS	1	1.44	1412.0	96535.0
686.0	Other local infections of skin and subcutaneous tissue	1	0.34	332.0	97644.0
480.1	Bacterial pneumonia	1	0.22	218.0	97580.0
369.0	Infection of the eye	1	0.06	62.0	97674.0
38.2	Gram positive septicemia	1	0.11	111.0	96535.0
711.0	Arthropathy associated with infections	1	0.0	4.0	92803.0
529.1	Glossitis	1	0.07	68.0	98764.0
994.2	Sepsis	1	0.89	889.0	99344.0
130.0	Spirochetal infection	1	0.01	11.0	100102.0
79.0	Viral infection	1	0.7	697.0	98871.0
31.0	Diseases due to other mycobacteria	1	0.0	3.0	96535.0
657.0	Infections specific to the perinatal period	1	0.0	1.0	100232.0
639.0	Complications following abortion or ectopic and molar pregnancies	1	0.01	7.0	98316.0
465.0	Acute upper respiratory infections of multiple or unspecified sites	1	0.32	321.0	99627.0
41.2	Streptococcus infection	1	0.44	426.0	96535.0
320.0	Meningitis	1	0.11	108.0	99952.0
420.0	Carditis	1	0.0	2.0	99357.0
38.0	Septicemia	1	0.95	928.0	96535.0
133.0	Arthropod-borne diseases	1	0.01	11.0	100102.0
41.1	Staphylococcus infections	1	0.72	698.0	96535.0
90.0	Sexually transmitted infections (not HIV or hepatitis)	1	0.01	9.0	100220.0
90.2	Gonococcal infections	1	0.0	1.0	100220.0
90.3	Venereal diseases due to Chlamydia trachomatis	1	0.0	3.0	100220.0
131.0	Protozoan infection	1	0.0	5.0	100102.0
54.0	Herpes simplex	1	0.06	63.0	98871.0
78.0	Viral warts & HPV	1	0.23	228.0	98871.0
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	1	0.52	519.0	98764.0
130.1	Lyme disease	1	0.02	17.0	100102.0
136.0	Other infectious and parasitic diseases	1	0.06	56.0	100102.0
324.0	Other CNS infection and poliomyelitis	1	0.08	83.0	99952.0
324.1	Jakob-Creutzfeldt disease	1	0.0	3.0	99952.0
323.0	Encephalitis	1	0.08	78.0	99952.0
386.2	Peripheral or central vertigo	1	0.11	106.0	98641.0
369.2	Eye infection, viral	1	0.03	32.0	97674.0
79.1	Varicella infection	1	0.02	15.0	98871.0
480.2	Viral pneumonia	1	0.02	22.0	97580.0
53.0	Herpes zoster	1	0.1	96.0	98871.0
53.1	Herpes zoster with nervous system complications	1	0.03	30.0	98871.0
381.1	Otitis media	1	0.25	248.0	99361.0
70.1	Viral hepatitis A	1	0.02	17.0	98871.0
70.2	Viral hepatitis B	1	0.03	33.0	98871.0
70.0	Viral hepatitis	1	0.04	43.0	98871.0
70.3	Viral hepatitis C	1	0.03	25.0	98871.0
71.1	HIV infection, symptomatic	1	0.0	2.0	98871.0
112.0	Candidiasis	1	0.57	566.0	99519.0
480.3	Pneumonia due to fungus (mycoses)	1	0.02	22.0	97580.0
