PheCode	Phenotype	Variance	Maximum Difference
8.0	Intestinal infection	0.0	0.08
8.5	Bacterial enteritis	0.02	0.42
38.1	Gram negative septicemia	0.0	0.12
8.51	Intestinal e.coli	0.0	0.0
8.52	Intestinal infection due to C. difficile	0.0	0.11999999999999997
8.7	Intestinal infection due to protozoa	0.0	0.01
8.6	Viral Enteritis	0.0	0.16
10.0	Tuberculosis	0.0	0.10999999999999999
41.0	Bacterial infection NOS	0.22	1.3599999999999999
686.0	Other local infections of skin and subcutaneous tissue	0.01	0.22000000000000003
480.1	Bacterial pneumonia	0.01	0.29000000000000004
369.0	Infection of the eye	0.0	0.04000000000000001
38.2	Gram positive septicemia	0.0	0.12000000000000001
711.0	Arthropathy associated with infections	0.0	0.0
529.1	Glossitis	0.0	0.04999999999999999
994.2	Sepsis	0.02	0.39
130.0	Spirochetal infection	0.0	0.01
79.0	Viral infection	0.01	0.2699999999999999
31.0	Diseases due to other mycobacteria	0.0	0.01
657.0	Infections specific to the perinatal period	0.0	0.0
639.0	Complications following abortion or ectopic and molar pregnancies	0.0	0.01
465.0	Acute upper respiratory infections of multiple or unspecified sites	0.0	0.19
41.2	Streptococcus infection	0.01	0.2
320.0	Meningitis	0.0	0.009999999999999995
420.0	Carditis	0.0	0.01
38.0	Septicemia	0.03	0.47
133.0	Arthropod-borne diseases	0.0	0.11
41.1	Staphylococcus infections	0.05	0.6400000000000001
90.0	Sexually transmitted infections (not HIV or hepatitis)	0.0	0.01
90.2	Gonococcal infections	0.0	0.01
90.3	Venereal diseases due to Chlamydia trachomatis	0.0	0.0
131.0	Protozoan infection	0.0	0.01
54.0	Herpes simplex	0.0	0.05
78.0	Viral warts & HPV	0.0	0.09
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	0.0	0.07999999999999996
130.1	Lyme disease	0.0	0.02
136.0	Other infectious and parasitic diseases	0.0	0.020000000000000004
324.0	Other CNS infection and poliomyelitis	0.0	0.06
324.1	Jakob-Creutzfeldt disease	0.0	0.01
323.0	Encephalitis	0.0	0.01999999999999999
386.2	Peripheral or central vertigo	0.0	0.05
369.2	Eye infection, viral	0.0	0.020000000000000004
79.1	Varicella infection	0.0	0.01
480.2	Viral pneumonia	0.0	0.009999999999999998
53.0	Herpes zoster	0.0	0.06
53.1	Herpes zoster with nervous system complications	0.0	0.010000000000000002
381.1	Otitis media	0.0	0.09000000000000002
70.1	Viral hepatitis A	0.0	0.019999999999999997
70.2	Viral hepatitis B	0.0	0.13
70.0	Viral hepatitis	0.0	0.13
70.3	Viral hepatitis C	0.01	0.25
71.1	HIV infection, symptomatic	0.0	0.15
112.0	Candidiasis	0.02	0.4
480.3	Pneumonia due to fungus (mycoses)	0.0	0.030000000000000002
230.0	Kaposi's sarcoma	0.0	0.01
202.2	Non-Hodgkins lymphoma	0.0	0.06
195.1	Malignant neoplasm, other	0.02	0.3899999999999997
348.8	Encephalopathy, not elsewhere classified	0.0	0.05
504.0	Other alveolar and parietoalveolar pneumonopathy	0.0	0.07
798.0	Malaise and fatigue	0.02	0.42999999999999994
260.1	Cachexia	0.0	0.019999999999999997
577.1	Acute pancreatitis	0.01	0.21999999999999997
79.2	Infectious mononucleosis	0.0	0.01
110.1	Dermatophytosis	0.0	0.019999999999999997
110.11	Dermatophytosis of nail	0.0	0.009999999999999998
110.12	Althete's foot	0.0	0.010000000000000002
110.13	Dermatophytosis of the body	0.0	0.0
110.2	Dermatomycoses	0.0	0.0
112.3	Candidiasis of skin and nails	0.0	0.01
420.3	Endocarditis	0.0	0.06
117.2	Coccidioidomycosis	0.0	0.0
117.1	Histoplasmosis	0.0	0.0
117.3	Blastomycotic infection	0.0	0.0
117.0	Mycoses	0.0	0.020000000000000004
117.4	Aspergillosis	0.0	0.019999999999999997
580.2	Nephrotic syndrome without mention of glomerulonephritis	0.0	0.16000000000000003
480.0	Pneumonia	0.12	0.97
134.0	Helminthiases	0.0	0.01
134.1	Intestinal helminthiases	0.0	0.030000000000000002
132.1	Pediculosis and phthirus infestation	0.0	0.0
132.0	Infestation (lice, mites)	0.0	0.02
41.4	E. coli	0.04	0.56
145.1	Cancer of lip	0.0	0.01
145.2	Cancer of tongue	0.0	0.039999999999999994
145.4	Cancer of the gums	0.0	0.0
145.5	Cancer of the mouth floor	0.0	0.019999999999999997
145.0	Cancer of mouth	0.0	0.04000000000000001
149.0	Cancer of larynx, pharynx, nasal cavities	0.0	0.03
145.3	Cancer of major salivary glands	0.0	0.0
149.1	Cancer of oropharynx	0.0	0.07999999999999999
149.2	Cancer of nasopharynx	0.0	0.01
149.3	Cancer of hypopharynx	0.0	0.03
150.0	Cancer of esophagus	0.0	0.13
151.0	Cancer of stomach	0.0	0.09
159.2	Malignant neoplasm of small intestine, including duodenum	0.0	0.030000000000000006
153.2	Colon cancer	0.0	0.07999999999999996
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	0.0	0.07000000000000006
153.0	Colorectal cancer	0.0	0.0
155.0	Cancer of liver and intrahepatic bile duct	0.0	0.03
155.1	Malignant neoplasm of liver, primary	0.0	0.04000000000000001
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.0	0.03
157.0	Pancreatic cancer	0.0	0.03
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	0.0	0.1200000000000001
149.9	Cancer of of nasal cavities	0.0	0.01
149.4	Cancer of larynx	0.0	0.12
165.1	Cancer of bronchus; lung	0.08	0.79
164.0	Cancer of intrathoracic organs	0.0	0.01
165.0	Cancer within the respiratory system	0.01	0.29000000000000004
170.1	Bone cancer	0.0	0.020000000000000004
172.11	Melanomas of skin	0.02	0.41000000000000003
172.2	Other non-epithelial cancer of skin	0.23	1.2599999999999998
159.4	Malignant neoplasm of retroperitoneum and peritoneum	0.0	0.020000000000000004
170.2	Cancer of connective tissue	0.0	0.020000000000000004
174.11	Malignant neoplasm of female breast	0.01	0.3500000000000001
184.2	Cancer of other female genital organs, excluding uterus and ovary	0.0	0.03
184.1	Malignant neoplasm of ovary and other uterine adnexa	0.0	0.009999999999999998
