PheCode	Phenotype	Difference
8.0	Intestinal infection	0.010000000000000009
8.5	Bacterial enteritis	0.010000000000000009
38.1	Gram negative septicemia	0.13999999999999999
8.51	Intestinal e.coli	0.0
8.52	Intestinal infection due to C. difficile	0.03
8.7	Intestinal infection due to protozoa	0.01
8.6	Viral Enteritis	0.020000000000000018
10.0	Tuberculosis	0.039999999999999994
41.0	Bacterial infection NOS	0.45999999999999996
686.0	Other local infections of skin and subcutaneous tissue	0.15999999999999998
480.1	Bacterial pneumonia	0.19999999999999998
369.0	Infection of the eye	0.0
38.2	Gram positive septicemia	0.09999999999999999
711.0	Arthropathy associated with infections	0.0
529.1	Glossitis	0.0
994.2	Sepsis	0.2699999999999999
130.0	Spirochetal infection	0.01
79.0	Viral infection	0.22999999999999998
31.0	Diseases due to other mycobacteria	0.0
657.0	Infections specific to the perinatal period	0.0
639.0	Complications following abortion or ectopic and molar pregnancies	0.02
465.0	Acute upper respiratory infections of multiple or unspecified sites	0.06999999999999995
41.2	Streptococcus infection	0.2
320.0	Meningitis	0.009999999999999995
420.0	Carditis	0.0
38.0	Septicemia	0.31000000000000005
133.0	Arthropod-borne diseases	0.010000000000000002
41.1	Staphylococcus infections	0.45999999999999996
90.0	Sexually transmitted infections (not HIV or hepatitis)	0.01
90.2	Gonococcal infections	0.0
90.3	Venereal diseases due to Chlamydia trachomatis	0.0
131.0	Protozoan infection	0.01
54.0	Herpes simplex	0.0
78.0	Viral warts & HPV	0.04000000000000001
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	0.039999999999999925
130.1	Lyme disease	0.0
136.0	Other infectious and parasitic diseases	0.020000000000000004
324.0	Other CNS infection and poliomyelitis	0.020000000000000004
324.1	Jakob-Creutzfeldt disease	0.0
323.0	Encephalitis	0.01999999999999999
386.2	Peripheral or central vertigo	0.020000000000000018
369.2	Eye infection, viral	0.0
79.1	Varicella infection	0.01
480.2	Viral pneumonia	0.009999999999999998
53.0	Herpes zoster	0.009999999999999995
53.1	Herpes zoster with nervous system complications	0.0
381.1	Otitis media	0.06
70.1	Viral hepatitis A	0.0
70.2	Viral hepatitis B	0.049999999999999996
70.0	Viral hepatitis	0.04000000000000001
70.3	Viral hepatitis C	0.09
71.1	HIV infection, symptomatic	0.07
112.0	Candidiasis	0.06999999999999995
480.3	Pneumonia due to fungus (mycoses)	0.030000000000000002
230.0	Kaposi's sarcoma	0.01
202.2	Non-Hodgkins lymphoma	0.16000000000000003
195.1	Malignant neoplasm, other	1.38
348.8	Encephalopathy, not elsewhere classified	0.03
504.0	Other alveolar and parietoalveolar pneumonopathy	0.01999999999999999
798.0	Malaise and fatigue	0.010000000000000009
260.1	Cachexia	0.01
577.1	Acute pancreatitis	0.04999999999999999
79.2	Infectious mononucleosis	0.01
110.1	Dermatophytosis	0.01
110.11	Dermatophytosis of nail	0.009999999999999998
110.12	Althete's foot	0.039999999999999994
110.13	Dermatophytosis of the body	0.02
110.2	Dermatomycoses	0.0
112.3	Candidiasis of skin and nails	0.0
420.3	Endocarditis	0.11000000000000001
117.2	Coccidioidomycosis	0.0
117.1	Histoplasmosis	0.0
117.3	Blastomycotic infection	0.0
117.0	Mycoses	0.010000000000000002
117.4	Aspergillosis	0.019999999999999997
580.2	Nephrotic syndrome without mention of glomerulonephritis	0.12000000000000001
480.0	Pneumonia	0.6499999999999999
134.0	Helminthiases	0.0
134.1	Intestinal helminthiases	0.010000000000000002
132.1	Pediculosis and phthirus infestation	0.0
132.0	Infestation (lice, mites)	0.0
41.4	E. coli	0.2300000000000001
145.1	Cancer of lip	0.01
145.2	Cancer of tongue	0.06999999999999999
145.4	Cancer of the gums	0.0
145.5	Cancer of the mouth floor	0.019999999999999997
145.0	Cancer of mouth	0.03
149.0	Cancer of larynx, pharynx, nasal cavities	0.019999999999999997
145.3	Cancer of major salivary glands	0.0
149.1	Cancer of oropharynx	0.08
149.2	Cancer of nasopharynx	0.01
149.3	Cancer of hypopharynx	0.01
150.0	Cancer of esophagus	0.27
151.0	Cancer of stomach	0.18000000000000002
159.2	Malignant neoplasm of small intestine, including duodenum	0.020000000000000004
153.2	Colon cancer	0.3799999999999999
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	0.38999999999999996
153.0	Colorectal cancer	0.0
155.0	Cancer of liver and intrahepatic bile duct	0.03
155.1	Malignant neoplasm of liver, primary	0.05
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.010000000000000009
157.0	Pancreatic cancer	0.05000000000000002
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	0.6599999999999999
149.9	Cancer of of nasal cavities	0.01
149.4	Cancer of larynx	0.11
165.1	Cancer of bronchus; lung	0.22999999999999998
164.0	Cancer of intrathoracic organs	0.01
165.0	Cancer within the respiratory system	0.23999999999999996
170.1	Bone cancer	0.020000000000000004
172.11	Melanomas of skin	0.0
172.2	Other non-epithelial cancer of skin	0.9300000000000002
159.4	Malignant neoplasm of retroperitoneum and peritoneum	0.06
170.2	Cancer of connective tissue	0.039999999999999994
174.11	Malignant neoplasm of female breast	6.22
184.2	Cancer of other female genital organs, excluding uterus and ovary	0.17
184.1	Malignant neoplasm of ovary and other uterine adnexa	0.05
180.1	Cervical cancer	0.14
182.0	Malignant neoplasm of uterus	0.77
184.11	Malignant neoplasm of ovary	0.53
187.1	Malignant neoplasm of unspecified male genital organ	0.05
185.0	Cancer of prostate	4.22
187.2	Malignant neoplasm of testis	0.15
189.11	Malignant neoplasm of kidney, except pelvis	0.21999999999999997
189.12	Malignant neoplasm of renal pelvis	0.019999999999999997
189.4	Malignant neoplasm of other urinary organs	0.039999999999999994
189.21	Malignant neoplasm of bladder	0.71
190.0	Cancer of eye	0.010000000000000002
191.1	Cancer of brain and nervous system	0.01
191.11	Cancer of brain	0.08
193.0	Thyroid cancer	0.08000000000000002
194.0	Cancer of other endocrine glands	0.009999999999999998
198.1	Secondary malignancy of lymph nodes	0.6699999999999999
198.0	Secondary malignant neoplasm	0.03999999999999998
198.2	Secondary malignancy of respiratory organs	0.04999999999999993
198.3	Secondary malignant neoplasm of digestive systems	0.2
198.4	Secondary malignant neoplasm of liver	0.13
198.7	Secondary malignant neoplasm of skin	0.0
198.5	Secondary malignancy of brain/spine	0.010000000000000009
198.6	Secondary malignancy of bone	0.25
201.0	Hodgkin's disease	0.03
202.21	Nodular lymphoma	0.009999999999999995
202.23	Lymphosarcoma	0.0
202.24	Large cell lymphoma	0.07999999999999999
204.4	Multiple myeloma	0.07999999999999999
270.35	Macroglobulinemia	0.009999999999999998
200.0	Myeloproliferative disease	0.04999999999999999
204.0	Leukemia	0.07
204.1	Lymphoid leukemia	0.01
204.11	Lymphoid leukemia, acute	0.0
204.12	Lymphoid leukemia, chronic	0.12
204.2	Myeloid leukemia	0.0
204.21	Myeloid leukemia, acute	0.04999999999999999
204.22	Myeloid leukemia, chronic	0.010000000000000002
204.3	Monocytic leukemia	0.01
202.0	Cancer of other lymphoid, histiocytic tissue	0.13
277.0	Other disorders of metabolism	0.0
172.3	Carcinoma in situ of skin	0.03
174.1	Breast cancer [female]	1.13
195.0	Cancer, suspected or other	0.020000000000000018
187.0	Cancer of other male genital organs	0.020000000000000004
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	1.07
189.2	Cancer of bladder	0.25
189.0	Cancer of urinary organs (incl. kidney and bladder)	0.8800000000000001
210.0	Benign neoplasm of lip, oral cavity, and pharynx	0.0
208.0	Benign neoplasm of colon	2.55
211.0	Benign neoplasm of other parts of digestive system	0.48
229.0	Benign neoplasm of unspecified sites	0.32
212.0	Benign neoplasm of respiratory and intrathoracic organs	0.05
213.0	Benign neoplasm of bone and articular cartilage	0.020000000000000004
214.0	Lipoma	0.47
214.1	Lipoma of skin and subcutaneous tissue	0.1399999999999999
228.0	Hemangioma and lymphangioma, any site	0.030000000000000027
215.0	Other benign neoplasm of connective and other soft tissue	0.03999999999999998
199.0	Neoplasm of uncertain behavior	0.07
216.0	Benign neoplasm of skin	0.7299999999999998
610.4	Benign neoplasm of breast	0.69
218.1	Uterine leiomyoma	5.21
218.2	Other benign neoplasm of uterus	0.19
221.0	Benign neoplasm of other female genital organs	0.12
222.0	Benign neoplasm of male genital organs	0.09
223.0	Benign neoplasm of kidney and other urinary organs	0.04
224.0	Benign neoplasm of eye	0.01
224.1	Benign neoplasm of eye, uveal	0.0
225.1	Benign neoplasm of brain, cranial nerves, meninges	0.1
225.2	Benign neoplasm of spinal cord, meninges	0.01
225.0	Benign neoplasm of brain and other parts of nervous system	0.0
226.0	Benign neoplasm of thyroid glands	0.08
227.1	Benign neoplasm of adrenal gland	0.0
227.2	Benign neoplasm of parathyroid gland	0.11
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	0.020000000000000004
227.0	Benign neoplasm of other endocrine glands and related structures	0.0
229.1	Benign neoplasm of lymph nodes	0.0
158.0	Neoplasm of unspecified nature of digestive system	0.10999999999999999
184.0	Cancer of other female genital organs	0.08
187.8	Neoplasm of uncertain behavior of male genital organs	0.06
191.0	Manlignant and unknown neoplasms of brain and nervous system	0.020000000000000004
270.32	Paraproteinemia	0.03
173.0	Neoplasm of uncertain behavior of skin	0.010000000000000002
174.3	Neoplasm of uncertain behavior of breast	0.06
280.1	Iron deficiency anemias, unspecified or not due to blood loss	0.5700000000000003
280.2	Iron deficiency anemia secondary to blood loss (chronic)	0.11000000000000001
281.12	Other vitamin B12 deficiency anemia	0.020000000000000004
281.11	Pernicious anemia	0.12999999999999998
281.13	Folate-deficiency anemia	0.03
281.0	Other deficiency anemia	0.0
281.1	Megaloblastic anemia	0.0
281.9	Deficiency anemias	0.0
282.9	Other hereditary hemolytic anemias	0.0
282.8	Other hemoglobinopathies	0.01999999999999999
282.5	Sickle cell anemia	0.06
289.0	Other diseases of blood and blood-forming organs	0.04000000000000001
283.0	Acquired hemolytic anemias	0.0
283.1	Autoimmune hemolytic anemias	0.010000000000000002
283.2	Non-autoimmune hemolytic anemias	0.0
283.21	Hemolytic-uremic syndrome	0.0
285.8	Hemoglobinuria	0.01
284.0	Aplastic anemia	0.07
284.2	Constitutional aplastic anemia	0.01
285.1	Acute posthemorrhagic anemia	0.05
285.22	Anemia in neoplastic disease	0.010000000000000009
285.2	Anemia of chronic disease	0.020000000000000004
285.0	Other anemias	0.5900000000000003
285.3	Sideroblastic anemia	0.0
286.6	Defibrination syndrome	0.0
286.13	Congenital factor VIII disorder	0.0
286.1	Congenital coagulation defects	0.0
286.7	Other and unspecified coagulation defects	0.009999999999999995
286.11	Von willebrand's disease	0.02
286.12	Congenital deficiency of other clotting factors (including factor VII)	0.04000000000000001
286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	0.009999999999999998
286.4	Acquired coagulation factor deficiency	0.0
287.0	Purpura and other hemorrhagic conditions	0.0
287.2	Allergic purpura	0.0
287.4	Qualitative platelet defects	0.0
287.31	Primary thrombocytopenia	0.0
287.32	Secondary thrombocytopenia	0.009999999999999998
287.3	Thrombocytopenia	0.14999999999999997
288.11	Neutropenia	0.22000000000000008
288.0	Diseases of white blood cells	0.020000000000000018
288.3	Eosinophilia	0.009999999999999998
289.5	Diseases of spleen	0.03999999999999998
289.9	Abnormality of red blood cells	0.009999999999999998
279.1	Immunity deficiency	0.0
279.11	Deficiency of humoral immunity	0.0
277.2	Other disorders of purine and pyrimidine metabolism	0.0
279.8	Other specified disorders involving the immune mechanism	0.0
697.0	Sarcoidosis	0.0
270.31	Polyclonal hypergammaglobulinemia	0.01
279.0	Disorders involving the immune mechanism	0.0
244.5	Congenital hypothyroidism	0.01
240.0	Simple and unspecified goiter	0.2
241.2	Nontoxic multinodular goiter	0.26
244.2	Acquired hypothyroidism	0.030000000000000002
244.1	Secondary hypothyroidism	0.42999999999999994
246.0	Other disorders of thyroid	0.15000000000000002
348.7	Coma	0.05000000000000002
