PheCode	Phenotype	Total_Cases	Total_Controls	Total_Prevalence	index	Female_Controls	Male_Controls	Female_Cases	Male_Cases	index	Female_Prevalence	Male_Prevalence	index	30-39_Controls	40-49_Controls	50-59_Controls	60-69_Controls	70-79_Controls	30-39_Cases	40-49_Cases	50-59_Cases	60-69_Cases	70-79_Cases	index	30-39_Prevalence	40-49_Prevalence	50-59_Prevalence	60-69_Prevalence	70-79_Prevalence	index	AsianG_Controls	BlackG_Controls	ChineseG_Controls	MixedG_Controls	OtherEthnicityG_Controls	WhiteG_Controls	AsianG_Cases	BlackG_Cases	ChineseG_Cases	MixedG_Cases	OtherEthnicityG_Cases	WhiteG_Cases	index	AsianG_Prevalence	BlackG_Prevalence	ChineseG_Prevalence	MixedG_Prevalence	OtherEthnicityG_Prevalence	WhiteG_Prevalence	index	African_Controls	Any other Asian background_Controls	Any other Black background_Controls	Any other mixed background_Controls	Any other white background_Controls	Asian or Asian British_Controls	Bangladeshi_Controls	Black or Black British_Controls	British_Controls	Caribbean_Controls	Chinese_Controls	Do not know_Controls	Indian_Controls	Irish_Controls	Mixed_Controls	Other ethnic group_Controls	Pakistani_Controls	Prefer not to answer_Controls	White_Controls	White and Asian_Controls	White and Black African_Controls	White and Black Caribbean_Controls	African_Cases	Any other Asian background_Cases	Any other Black background_Cases	Any other mixed background_Cases	Any other white background_Cases	Asian or Asian British_Cases	Bangladeshi_Cases	Black or Black British_Cases	British_Cases	Caribbean_Cases	Chinese_Cases	Do not know_Cases	Indian_Cases	Irish_Cases	Mixed_Cases	Other ethnic group_Cases	Pakistani_Cases	Prefer not to answer_Cases	White_Cases	White and Asian_Cases	White and Black African_Cases	White and Black Caribbean_Cases	index	African_Prevalence	Any other Asian background_Prevalence	Any other Black background_Prevalence	Any other mixed background_Prevalence	Any other white background_Prevalence	Asian or Asian British_Prevalence	Bangladeshi_Prevalence	Black or Black British_Prevalence	British_Prevalence	Caribbean_Prevalence	Chinese_Prevalence	Do not know_Prevalence	Indian_Prevalence	Irish_Prevalence	Mixed_Prevalence	Other ethnic group_Prevalence	Pakistani_Prevalence	Prefer not to answer_Prevalence	White_Prevalence	White and Asian_Prevalence	White and Black African_Prevalence	White and Black Caribbean_Prevalence	index	0_Controls	1_Controls	2_Controls	3_Controls	4_Controls	0_Cases	1_Cases	2_Cases	3_Cases	4_Cases	index	0.0_Prevalence	1.0_Prevalence	2.0_Prevalence	3.0_Prevalence	4.0_Prevalence
8.0	Intestinal infection	666	495235	0.0013430099959467717	0	269487.0	225748.0	358.0	308.0	Status	0.0013266875428486725	0.0013624942492125845	0	6.0	116514.0	164927.0	211418.0	2370.0		128.0	216.0	319.0	3.0	Status	0.0	0.0010973748735446922	0.001307957346057659	0.0015065860005572952	0.0012642225031605564	0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	16.0	14.0	2.0	2.0	9.0	623.0	Status	0.0016449059319420172	0.0017681232634503663	0.0012861736334405145	0.0006856359273225917	0.0014260814450958643	0.0013326972894691243	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	7.0	1.0	1.0		13.0				599.0	6.0	2.0		11.0	9.0	1.0	8.0	4.0	1.0	2.0			1.0	Status	0.0021033653846153845	0.0005567928730512249	0.008264462809917356	0.0	0.0008030639980232271	0.0	0.0	0.0	0.001368520375874745	0.0013504388926401081	0.0012861736334405145	0.0	0.0018774534903567162	0.0006909258406264394	0.020833333333333332	0.0017929179740026895	0.0022172949002217295	0.0006116207951070336	0.0035714285714285713	0.0	0.0	0.0016260162601626016	0	99421.0	99171.0	99128.0	98949.0	98566.0	107.0	128.0	114.0	131.0	186.0	Status	0.00107507435093642	0.0012890361433649886	0.0011487072005803994	0.0013221639079531691	0.0018835061568373299
8.5	Bacterial enteritis	2960	495235	0.005941448629552685	0	269487.0	225748.0	1627.0	1333.0	Status	0.0060011655613505755	0.005870152060278051	0	6.0	116514.0	164927.0	211418.0	2370.0		486.0	898.0	1550.0	26.0	Status	0.0	0.004153846153846154	0.005415347504899744	0.0072780887269448934	0.010851419031719533	0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	93.0	96.0	11.0	24.0	78.0	2658.0	Status	0.009485924112607099	0.012	0.007033248081841432	0.008166042871725076	0.012225705329153605	0.005661245388789968	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	45.0	8.0	2.0	12.0	82.0	1.0	7.0		2459.0	49.0	11.0	2.0	60.0	110.0	1.0	57.0	17.0	19.0	7.0	2.0	5.0	4.0	Status	0.013368983957219251	0.004437049362174155	0.01639344262295082	0.011776251226692836	0.005043981054315064	0.023809523809523808	0.029914529914529916	0.0	0.005594243321146877	0.010922871154703521	0.007033248081841432	0.009259259259259259	0.010155721056194989	0.008379675478022397	0.020833333333333332	0.012635779206384394	0.009356081452944413	0.011494252873563218	0.012389380530973451	0.0024096385542168677	0.01179245283018868	0.006472491909385114	0	99421.0	99171.0	99128.0	98949.0	98566.0	421.0	504.0	579.0	612.0	844.0	Status	0.004216662326475832	0.005056433408577878	0.005807014552639233	0.006146985265314732	0.00849009154008651
38.1	Gram negative septicemia	1393	478272	0.0029041101602159843	0	261374.0	216898.0	594.0	799.0	Status	0.002267452513284065	0.003670238910044695	0	6.0	114266.0	160244.0	201556.0	2200.0		137.0	350.0	886.0	20.0	Status	0.0	0.0011975210440285657	0.0021794089442943075	0.004376562175833078	0.009009009009009009	0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0	37.0	18.0	2.0	5.0	13.0	1318.0	Status	0.003978922464781159	0.0023628248884221582	0.0013149243918474688	0.0017618040873854828	0.002133245815556285	0.0029140273494069136	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0	7.0	5.0	1.0	2.0	34.0		3.0	1.0	1235.0	9.0	2.0		25.0	47.0		7.0	4.0	6.0	2.0		1.0	2.0	Status	0.00219435736677116	0.0028768699654775605	0.008333333333333333	0.0020242914979757085	0.0021573604060913707	0.0	0.013888888888888888	0.04	0.0029164019864593937	0.002101330842867149	0.0013149243918474688	0.0	0.004462691895751518	0.003750997605746209	0.0	0.001621120889300602	0.0023515579071134627	0.0038363171355498722	0.0037174721189591076	0.0	0.0024813895781637717	0.0033277870216306157	0	96618.0	96098.0	95901.0	95606.0	94049.0	235.0	250.0	253.0	310.0	345.0	Status	0.0024263574695672823	0.0025947606592767883	0.002631195790086736	0.003231994661995913	0.0036548933194906455
8.51	Intestinal e.coli	45	495235	9.085769665643676e-05	0	269487.0	225748.0	30.0	15.0	Status	0.00011131023274969668	6.64413566439142e-05	0	6.0	116514.0	164927.0	211418.0	2370.0		5.0	14.0	24.0	2.0	Status	0.0	4.291145650065655e-05	8.487883546237746e-05	0.00011350630432931962	0.0008431703204047217	0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0			1.0	1.0	1.0	42.0	Status	0.0	0.0	0.0006435006435006435	0.0003429355281207133	0.00015865460891638903	8.99565638306075e-05	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0				1.0	1.0				40.0		1.0			1.0		1.0							Status	0.0	0.0	0.0	0.000992063492063492	6.181998021760633e-05	0.0	0.0	0.0	9.150386603834012e-05	0.0	0.0006435006435006435	0.0	0.0	7.681671531725304e-05	0.0	0.0002244668911335578	0.0	0.0	0.0	0.0	0.0	0.0	0	99421.0	99171.0	99128.0	98949.0	98566.0	8.0	8.0	10.0	6.0	13.0	Status	8.045942330708345e-05	8.066223696548664e-05	0.00010086949504730779	6.0633621343034716e-05	0.00013187392852433074
8.52	Intestinal infection due to C. difficile	1010	495235	0.0020352849902769803	0	269487.0	225748.0	519.0	491.0	Status	0.001922179507122064	0.002170271261807204	0	6.0	116514.0	164927.0	211418.0	2370.0		111.0	230.0	659.0	10.0	Status	0.0	0.0009517684887459807	0.001392614300332411	0.00310736194872617	0.004201680672268907	0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	15.0	11.0	1.0	7.0	12.0	964.0	Status	0.0015422578655151142	0.0013897662665824384	0.0006435006435006435	0.0023956194387405884	0.0019005384859043396	0.002060648035330281	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	5.0	2.0		5.0	25.0	1.0			906.0	6.0	1.0	1.0	10.0	33.0		8.0	2.0	3.0		1.0		1.0	Status	0.001503307276007216	0.0011129660545353367	0.0	0.004940711462450593	0.0015432098765432098	0.023809523809523808	0.0	0.0	0.002068464815550472	0.0013504388926401081	0.0006435006435006435	0.004651162790697674	0.001707067258449983	0.002528735632183908	0.0	0.0017929179740026895	0.0011098779134295228	0.0018326206475259622	0.0	0.0012062726176115801	0.0	0.0016260162601626016	0	99421.0	99171.0	99128.0	98949.0	98566.0	167.0	171.0	168.0	221.0	283.0	Status	0.00167690886452183	0.0017213263272331943	0.001691911053818885	0.0022284965211253403	0.002862952584244656
8.7	Intestinal infection due to protozoa	79	495235	0.00015949478512620278	0	269487.0	225748.0	32.0	47.0	Status	0.00011873003387516279	0.00020815341349454151	0	6.0	116514.0	164927.0	211418.0	2370.0		15.0	26.0	38.0		Status	0.0	0.00012872332209149653	0.00015762065558068056	0.00017970641646489105	0.0	0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	1.0	1.0			1.0	76.0	Status	0.00010296540362438221	0.0001265022137887413	0.0	0.0	0.00015865460891638903	0.00016276669108167033	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0					1.0		1.0		73.0	1.0				2.0		1.0							Status	0.0	0.0	0.0	0.0	6.181998021760633e-05	0.0	0.0043859649122807015	0.0	0.00016698194993743895	0.0002253267237494367	0.0	0.0	0.0	0.00015362162992549352	0.0	0.0002244668911335578	0.0	0.0	0.0	0.0	0.0	0.0	0	99421.0	99171.0	99128.0	98949.0	98566.0	10.0	16.0	15.0	18.0	20.0	Status	0.00010057225613742193	0.00016131146218758508	0.00015129661196453608	0.00018187880808754434	0.0002028685614590307
8.6	Viral Enteritis	1310	495235	0.002638230170478003	0	269487.0	225748.0	736.0	574.0	Status	0.0027236763709972875	0.002536209471461016	0	6.0	116514.0	164927.0	211418.0	2370.0		202.0	425.0	670.0	13.0	Status	0.0	0.0017306967339525	0.00257027432386666	0.0031590660480555243	0.005455308434746118	0	9711.0	7904.0	1553.0	2915.0	6302.0	466850.0	37.0	23.0	1.0	9.0	19.0	1221.0	Status	0.0037956503898235535	0.0029014759682099156	0.0006435006435006435	0.0030779753761969904	0.0030058535041923747	0.0026085786130736577	0	3321.0	1795.0	120.0	1007.0	16175.0	41.0	227.0	26.0	437100.0	4437.0	1553.0	214.0	5848.0	13017.0	47.0	4454.0	1800.0	1634.0	558.0	828.0	419.0	614.0	6.0	2.0		7.0	24.0		1.0	1.0	1159.0	16.0	1.0		20.0	34.0		15.0	14.0	4.0	4.0		1.0	1.0	Status	0.0018034265103697023	0.0011129660545353367	0.0	0.006903353057199211	0.0014815729366010248	0.0	0.0043859649122807015	0.037037037037037035	0.0026445549321291745	0.003593083314619358	0.0006435006435006435	0.0	0.0034083162917518746	0.002605164355221822	0.0	0.003356455582904453	0.007717750826901874	0.002442002442002442	0.0071174377224199285	0.0	0.002380952380952381	0.0016260162601626016	0	99421.0	99171.0	99128.0	98949.0	98566.0	207.0	218.0	216.0	303.0	366.0	Status	0.002077729152447103	0.002193401684291018	0.0021742631663713963	0.003052835207350985	0.0036995107750778314
10.0	Tuberculosis	338	478272	0.0007062117381584171	0	261374.0	216898.0	135.0	203.0	Status	0.0005162346229001678	0.0009350486639858867	0	6.0	114266.0	160244.0	201556.0	2200.0		74.0	114.0	149.0	1.0	Status	0.0	0.0006471925835228266	0.0007109093403509647	0.0007387025606702858	0.00045433893684688776	0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0	76.0	35.0	3.0	4.0	20.0	200.0	Status	0.008138787748982652	0.0045841519318926	0.0019710906701708277	0.0014099400775467042	0.0032781511227667594	0.000443285007879391	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0	23.0	4.0		1.0	11.0		1.0		178.0	12.0	3.0		41.0	11.0		18.0	30.0	2.0			2.0	1.0	Status	0.007174048658764816	0.002302820955670697	0.0	0.0010131712259371835	0.0006989896422443922	0.0	0.004672897196261682	0.0	0.00042139153902606474	0.0027998133457769483	0.0019710906701708277	0.0	0.007297970808116768	0.0008804226028493677	0.0	0.004158004158004158	0.017371163867979156	0.001282051282051282	0.0	0.0	0.0049504950495049506	0.0016666666666666668	0	96618.0	96098.0	95901.0	95606.0	94049.0	34.0	45.0	53.0	63.0	143.0	Status	0.0003517775110706452	0.0004680527963554289	0.0005523480000833733	0.0006585205238896613	0.0015181756412434176
41.0	Bacterial infection NOS	9461	478272	0.019397908281785323	0	261374.0	216898.0	4606.0	4855.0	Status	0.017317091510639898	0.021893728607955697	0	6.0	114266.0	160244.0	201556.0	2200.0		1223.0	2695.0	5458.0	85.0	Status	0.0	0.010589753136662366	0.016539932121837006	0.02636536659356372	0.037199124726477024	0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0	276.0	205.0	25.0	52.0	156.0	8747.0	Status	0.028936884042776265	0.02626521460602178	0.016191709844559584	0.01802426343154246	0.025012025012025013	0.019026633371327144	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0	89.0	38.0	3.0	16.0	239.0	1.0	13.0	1.0	8154.0	112.0	25.0	1.0	163.0	339.0		112.0	61.0	43.0	15.0	18.0	8.0	10.0	Status	0.027200488997555013	0.021456804065499716	0.02459016393442623	0.015968063872255488	0.014970247416222987	0.023255813953488372	0.05752212389380531	0.04	0.018945783552438974	0.02553579571363429	0.016191709844559584	0.004694835680751174	0.028397212543554005	0.026438933083762283	0.0	0.0253221795161655	0.034698521046643914	0.026858213616489695	0.02722323049001815	0.022085889570552148	0.01951219512195122	0.016420361247947456	0	96618.0	96098.0	95901.0	95606.0	94049.0	1412.0	1625.0	1778.0	1930.0	2716.0	Status	0.01440375395287157	0.01662863399609099	0.018202479550363946	0.0197875656167979	0.0280679997933137
686.0	Other local infections of skin and subcutaneous tissue	2016	485038	0.00413917142657693	0	265645.0	219393.0	914.0	1102.0	Status	0.003428884412081378	0.004997845756139595	0	6.0	114260.0	161672.0	206774.0	2326.0		326.0	601.0	1071.0	18.0	Status	0.0	0.0028450246976070375	0.0037036352319856046	0.005152878346845005	0.007679180887372013	0	9525.0	7792.0	1554.0	2874.0	6232.0	457061.0	35.0	20.0	1.0	13.0	26.0	1921.0	Status	0.0036610878661087866	0.002560163850486431	0.0006430868167202572	0.004502944232767579	0.004154682007031001	0.004185349316530931	0	3293.0	1773.0	120.0	1000.0	15864.0	41.0	231.0	24.0	427950.0	4355.0	1554.0	211.0	5723.0	12703.0	47.0	4419.0	1757.0	1602.0	544.0	814.0	415.0	598.0	10.0	2.0		5.0	52.0				1787.0	10.0	1.0	2.0	27.0	78.0	1.0	13.0	6.0	11.0	4.0	3.0	2.0	2.0	Status	0.003027550711474417	0.0011267605633802818	0.0	0.004975124378109453	0.003267152550892184	0.0	0.0	0.0	0.004158357320872999	0.002290950744558992	0.0006430868167202572	0.009389671361502348	0.0046956521739130435	0.0061028088568969565	0.020833333333333332	0.0029332129963898917	0.003403289846851957	0.006819590824550527	0.0072992700729927005	0.0036719706242350062	0.004796163069544364	0.0033333333333333335	0	97727.0	97355.0	97215.0	96852.0	95889.0	332.0	360.0	379.0	399.0	546.0	Status	0.0033857167623573565	0.0036841835951491584	0.0038834354570977726	0.004102785575469661	0.005661844765904495
