Phenotype	PheCode	1	2	3	4	5
Macular degeneration (senile) of retina NOS	362.29	0.8	0.76	0.85	0.84	0.8
Acute posthemorrhagic anemia	285.1	0.08	0.08	0.06	0.08	0.09
Human immunodeficiency virus [HIV] disease	71.0	0.0	0.0	0.01	0.02	0.09
Toxic effect of venom	913.0	0.03	0.04	0.03	0.03	0.04
Iron deficiency anemia secondary to blood loss (chronic)	280.2	0.12	0.11	0.16	0.17	0.22
Disorders of refraction and accommodation; blindness and low vision	367.0	0.03	0.04	0.03	0.02	0.03
Rheumatism, unspecified and fibrositis	729.1	0.07	0.08	0.08	0.1	0.17
Benign neoplasm of adrenal gland	227.1	0.04	0.05	0.04	0.06	0.1
Benign neoplasm of other parts of digestive system	211.0	1.65	1.78	1.76	1.74	1.68
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	750.22	0.03	0.03	0.03	0.05	0.03
Urethral stricture (not specified as infectious)	597.1	0.9	0.91	0.91	0.92	1.16
Gastrointestinal complications	569.2	0.13	0.15	0.14	0.17	0.17
Diseases of the salivary glands	527.0	0.03	0.03	0.02	0.03	0.03
Malunion and nonunion of fracture	733.8	0.03	0.04	0.05	0.04	0.05
Type 2 diabetes with ketoacidosis	250.21	0.02	0.02	0.04	0.05	0.12
Myalgia and myositis unspecified	770.0	0.05	0.03	0.05	0.05	0.07
Peritonitis and retroperitoneal infections	567.0	0.24	0.22	0.24	0.32	0.35
Septicemia	38.0	0.95	1.03	1.02	1.08	1.42
Cervicitis and endocervicitis	614.51	0.33	0.3	0.3	0.29	0.24
Toxic multinodular goiter	242.2	0.02	0.02	0.01	0.04	0.05
Disorders of uterus, NEC	619.2	0.91	0.86	0.92	0.92	0.9
Malignant neoplasm of renal pelvis	189.12	0.02	0.02	0.02	0.01	0.03
Bronchiectasis	496.3	0.6	0.6	0.69	0.65	0.92
Chronic pharyngitis and nasopharyngitis	472.0	0.24	0.25	0.26	0.25	0.3
Other and unspecified disc disorder	722.9	1.01	1.12	1.17	1.18	1.35
Neoplasm of uncertain behavior	199.0	0.33	0.35	0.35	0.34	0.43
Secondary malignancy of lymph nodes	198.1	1.73	1.76	1.79	1.8	1.86
Broken tooth	873.0	0.02	0.02	0.03	0.02	0.04
Cushing's syndrome	255.11	0.02	0.03	0.03	0.03	0.04
Malignant neoplasm of gallbladder and extrahepatic bile ducts	159.3	0.05	0.07	0.07	0.06	0.08
Other specified diseases of the salivary glands	527.8	0.04	0.03	0.03	0.04	0.04
Gastroesophageal laceration-hemorrhage syndrome	530.7	0.07	0.07	0.08	0.11	0.17
Hormones and synthetic substitutes causing adverse effects in therapeutic use	962.3	0.08	0.12	0.11	0.11	0.14
Obesity	278.1	2.76	3.08	3.47	4.09	5.69
Myocarditis	420.1	0.03	0.03	0.04	0.03	0.03
Irregular menstrual cycle/bleeding	626.1	0.39	0.46	0.46	0.47	0.49
Chronic inflammatory pelvic disease	614.32	0.08	0.08	0.1	0.13	0.17
Intestinal helminthiases	134.1	0.02	0.03	0.04	0.03	0.05
Cancer of liver and intrahepatic bile duct	155.0	0.08	0.07	0.1	0.09	0.09
Pleurisy; pleural effusion	507.0	1.79	1.83	1.99	2.09	2.72
Cancer of other lymphoid, histiocytic tissue	202.0	0.35	0.33	0.37	0.33	0.36
Abscess or ulceration of vulva	614.54	0.05	0.07	0.06	0.08	0.1
Osteoarthritis; localized	740.1	3.07	3.07	2.9	2.74	2.7
Von willebrand's disease	286.11	0.02	0.02	0.04	0.03	0.04
Nevus, non-neoplastic	217.1	0.17	0.15	0.16	0.16	0.18
Cancer within the respiratory system	165.0	0.26	0.27	0.29	0.34	0.54
Glucocorticoid deficiency	255.21	0.09	0.1	0.11	0.11	0.13
Disorders of the autonomic nervous system	337.0	0.05	0.05	0.05	0.06	0.07
Generalized convulsive epilepsy	345.11	0.08	0.09	0.12	0.14	0.22
Alzheimer's disease	290.11	0.19	0.17	0.17	0.18	0.25
Antepartum hemorrhage, abruptio placentae, and placenta previa	635.2	0.22	0.19	0.25	0.27	0.25
Osteoporosis NOS	743.11	1.03	1.09	1.12	1.19	1.43
Lymphadenitis	289.4	0.68	0.67	0.77	0.85	1.06
Ventral hernia	550.5	0.89	1.0	1.07	1.16	1.47
Fracture of hand or wrist	804.0	0.12	0.15	0.13	0.16	0.16
Other hypertrophic cardiomyopathy	425.12	0.05	0.05	0.05	0.06	0.08
Cholangitis	575.1	0.14	0.17	0.17	0.19	0.19
Abdominal aortic aneurysm	442.11	0.25	0.29	0.28	0.29	0.34
Duodenal ulcer	531.3	0.61	0.68	0.77	0.83	1.11
Syncope and collapse	788.0	2.21	2.44	2.57	2.64	3.44
Primary open angle glaucoma	365.11	0.38	0.36	0.36	0.38	0.43
Circulatory disease NEC	459.9	4.29	4.73	4.86	5.1	6.55
Internal derangement of knee	835.0	0.97	1.09	1.06	1.06	1.01
Lipoma of skin and subcutaneous tissue	214.1	1.21	1.24	1.31	1.37	1.59
Cancer of brain	191.11	0.16	0.13	0.14	0.15	0.13
Other unspecified back disorders	724.9	0.1	0.11	0.14	0.15	0.2
Fever of unknown origin	783.0	1.07	1.11	1.15	1.22	1.39
Other cardiac conduction disorders	426.8	0.02	0.01	0.02	0.02	0.03
Polyneuropathy in diabetes	250.6	0.08	0.09	0.12	0.14	0.29
Nonsenile Cataract	366.1	0.01	0.01	0.02	0.03	0.04
Coronary atherosclerosis	411.4	5.05	5.39	5.63	5.76	7.05
Other disorders of stomach and duodenum	537.0	0.89	0.91	1.08	1.14	1.55
Cellulitis and abscess of face/neck	681.2	0.12	0.12	0.13	0.16	0.19
Diaphragmatic hernia	550.2	7.36	7.84	8.1	8.35	9.65
Neurological disorders	292.0	0.12	0.15	0.15	0.19	0.23
Mycoses	117.0	0.04	0.03	0.05	0.04	0.05
Bronchopneumonia and lung abscess	480.5	0.09	0.09	0.1	0.14	0.2
Exophthalmos	242.3	0.05	0.02	0.03	0.03	0.05
Benign neoplasm of skin	216.0	2.23	2.33	2.29	2.07	2.16
Disorders of penis	604.0	0.2	0.18	0.21	0.24	0.27
Other inflammatory disorders of male genital organs	601.8	0.06	0.05	0.1	0.09	0.1
Bundle branch block	426.3	0.1	0.09	0.08	0.11	0.14
Keratitis	370.0	0.04	0.03	0.04	0.04	0.05
Cholesteatoma	385.3	0.11	0.12	0.13	0.16	0.2
Extrapyramidal disease and abnormal movement disorders	333.0	0.08	0.08	0.1	0.13	0.16
Sarcoidosis	697.0	0.16	0.15	0.17	0.19	0.21
Salicylates causing adverse effects in therapeutic use	965.3	0.08	0.08	0.09	0.1	0.19
Acute pain	338.1	0.07	0.09	0.1	0.15	0.19
Endocarditis	420.3	0.18	0.2	0.22	0.22	0.24
Occlusion and stenosis of precerebral arteries	433.1	0.21	0.26	0.31	0.32	0.46
Phobia	300.13	0.18	0.18	0.21	0.25	0.33
Splenomegaly	579.2	0.13	0.12	0.13	0.15	0.2
Varicose veins of lower extremity, symptomtic	454.11	0.17	0.18	0.23	0.24	0.34
Other chronic nonalcoholic liver disease	571.5	0.36	0.46	0.48	0.63	0.98
Epilepsy, recurrent seizures, convulsions	345.0	0.7	0.74	0.87	0.98	1.52
Obsessive-compulsive disorders	300.3	0.03	0.03	0.04	0.06	0.1
Other diseases of respiratory system, NEC	519.8	2.12	2.34	2.5	2.81	3.96
Otitis media	381.1	0.25	0.25	0.28	0.28	0.34
Secondary malignancy of brain/spine	198.5	0.24	0.28	0.29	0.27	0.37
Anemia in neoplastic disease	285.22	0.12	0.13	0.15	0.14	0.15
Cancer of bladder	189.2	0.21	0.23	0.23	0.19	0.23
Peripheral or central vertigo	386.2	0.11	0.13	0.13	0.13	0.16
Poisoning by psychotropic agents	969.0	0.26	0.31	0.38	0.53	1.16
Pulmonary heart disease	415.0	0.97	1.01	1.07	1.1	1.3
Abnormal findings on exam of gastrointestinal tract/ abdominal area	564.8	0.56	0.65	0.69	0.66	0.74
Disorders of iron metabolism	275.1	0.18	0.19	0.18	0.21	0.22
Septal Deviations/Turbinate Hypertrophy	470.0	1.12	1.16	1.25	1.22	1.5
Labyrinthitis	386.3	0.21	0.19	0.21	0.22	0.24
Chronic dermatitis due to solar radiation	938.2	0.09	0.08	0.09	0.06	0.06
Open wound of foot except toe(s) alone	871.3	0.04	0.03	0.06	0.05	0.07
Paralysis/spasm of vocal cords or larynx	473.3	0.07	0.08	0.08	0.09	0.12
Other intestinal obstruction	560.4	1.11	1.17	1.2	1.27	1.39
Cancer of other female genital organs	184.0	0.04	0.04	0.04	0.05	0.05
