PheCode	Phenotype	MinPrev	MaxPrev
362.29	Macular degeneration (senile) of retina NOS	0.7	0.9
285.1	Acute posthemorrhagic anemia	0.05	0.1
71.0	Human immunodeficiency virus [HIV] disease	0.01	0.04
913.0	Toxic effect of venom	0.03	0.04
280.2	Iron deficiency anemia secondary to blood loss (chronic)	0.09	0.2
367.0	Disorders of refraction and accommodation; blindness and low vision	0.02	0.04
729.1	Rheumatism, unspecified and fibrositis	0.03	0.15
227.1	Benign neoplasm of adrenal gland	0.06	0.06
211.0	Benign neoplasm of other parts of digestive system	1.46	1.94
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	0.03	0.04
597.1	Urethral stricture (not specified as infectious)	0.7	1.28
569.2	Gastrointestinal complications	0.13	0.18
527.0	Diseases of the salivary glands	0.03	0.03
733.8	Malunion and nonunion of fracture	0.04	0.05
250.21	Type 2 diabetes with ketoacidosis	0.04	0.06
770.0	Myalgia and myositis unspecified	0.05	0.05
567.0	Peritonitis and retroperitoneal infections	0.23	0.33
38.0	Septicemia	0.96	1.27
614.51	Cervicitis and endocervicitis	0.0	0.55
242.2	Toxic multinodular goiter	0.01	0.05
619.2	Disorders of uterus, NEC	0.0	1.68
189.12	Malignant neoplasm of renal pelvis	0.01	0.03
496.3	Bronchiectasis	0.65	0.72
472.0	Chronic pharyngitis and nasopharyngitis	0.23	0.3
722.9	Other and unspecified disc disorder	1.15	1.19
199.0	Neoplasm of uncertain behavior	0.33	0.4
198.1	Secondary malignancy of lymph nodes	1.42	2.09
873.0	Broken tooth	0.02	0.03
255.11	Cushing's syndrome	0.02	0.04
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.06	0.07
527.8	Other specified diseases of the salivary glands	0.03	0.04
530.7	Gastroesophageal laceration-hemorrhage syndrome	0.08	0.13
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	0.09	0.13
278.1	Obesity	3.7	3.92
420.1	Myocarditis	0.03	0.04
626.1	Irregular menstrual cycle/bleeding	0.0	0.89
614.32	Chronic inflammatory pelvic disease	0.0	0.21
