PheCode	Phenotype	Age	Prevalence	Case	Controls
362.29	Macular degeneration (senile) of retina NOS	Total	0.81	3935	481288
362.29	Macular degeneration (senile) of retina NOS	Female	0.9	2386	262877
362.29	Macular degeneration (senile) of retina NOS	Male	0.7	1549	218411
285.1	Acute posthemorrhagic anemia	Total	0.08	366	470418
285.1	Acute posthemorrhagic anemia	Female	0.1	256	254494
285.1	Acute posthemorrhagic anemia	Male	0.05	110	215924
71.0	Human immunodeficiency virus [HIV] disease	Total	0.02	115	492293
71.0	Human immunodeficiency virus [HIV] disease	Female	0.01	18	267844
71.0	Human immunodeficiency virus [HIV] disease	Male	0.04	97	224449
913.0	Toxic effect of venom	Total	0.03	162	500266
913.0	Toxic effect of venom	Female	0.03	76	272292
913.0	Toxic effect of venom	Male	0.04	86	227974
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Total	0.15	725	470418
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Female	0.2	520	254494
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Male	0.09	205	215924
367.0	Disorders of refraction and accommodation; blindness and low vision	Total	0.03	142	496505
367.0	Disorders of refraction and accommodation; blindness and low vision	Female	0.04	100	270208
367.0	Disorders of refraction and accommodation; blindness and low vision	Male	0.02	42	226297
729.1	Rheumatism, unspecified and fibrositis	Total	0.1	467	470973
729.1	Rheumatism, unspecified and fibrositis	Female	0.15	397	256374
729.1	Rheumatism, unspecified and fibrositis	Male	0.03	70	214599
227.1	Benign neoplasm of adrenal gland	Total	0.06	293	498117
227.1	Benign neoplasm of adrenal gland	Female	0.06	151	270815
227.1	Benign neoplasm of adrenal gland	Male	0.06	142	227302
211.0	Benign neoplasm of other parts of digestive system	Total	1.72	8416	479876
211.0	Benign neoplasm of other parts of digestive system	Female	1.94	5184	261817
211.0	Benign neoplasm of other parts of digestive system	Male	1.46	3232	218059
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Total	0.03	166	497444
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Female	0.04	109	270799
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Male	0.03	57	226645
597.1	Urethral stricture (not specified as infectious)	Total	0.96	4663	480785
597.1	Urethral stricture (not specified as infectious)	Female	0.7	1862	264689
597.1	Urethral stricture (not specified as infectious)	Male	1.28	2801	216096
569.2	Gastrointestinal complications	Total	0.15	720	469177
569.2	Gastrointestinal complications	Female	0.13	333	256812
569.2	Gastrointestinal complications	Male	0.18	387	212365
527.0	Diseases of the salivary glands	Total	0.03	136	492610
527.0	Diseases of the salivary glands	Female	0.03	73	268020
527.0	Diseases of the salivary glands	Male	0.03	63	224590
733.8	Malunion and nonunion of fracture	Total	0.04	198	483416
733.8	Malunion and nonunion of fracture	Female	0.04	92	258848
733.8	Malunion and nonunion of fracture	Male	0.05	106	224568
250.21	Type 2 diabetes with ketoacidosis	Total	0.05	225	468659
250.21	Type 2 diabetes with ketoacidosis	Female	0.04	102	259550
250.21	Type 2 diabetes with ketoacidosis	Male	0.06	123	209109
770.0	Myalgia and myositis unspecified	Total	0.05	248	500180
770.0	Myalgia and myositis unspecified	Female	0.05	139	272229
770.0	Myalgia and myositis unspecified	Male	0.05	109	227951
567.0	Peritonitis and retroperitoneal infections	Total	0.27	1292	469177
567.0	Peritonitis and retroperitoneal infections	Female	0.23	582	256812
567.0	Peritonitis and retroperitoneal infections	Male	0.33	710	212365
38.0	Septicemia	Total	1.1	5312	477621
38.0	Septicemia	Female	0.96	2519	261072
38.0	Septicemia	Male	1.27	2793	216549
614.51	Cervicitis and endocervicitis	Total	0.29	1431	489046
614.51	Cervicitis and endocervicitis	Female	0.55	1431	260989
614.51	Cervicitis and endocervicitis	Male	0.0	0	228057
