Phenotype	PheCode	Female	Male
Macular degeneration (senile) of retina NOS	362.29	0.9	0.7
Acute posthemorrhagic anemia	285.1	0.1	0.05
Human immunodeficiency virus [HIV] disease	71.0	0.01	0.04
Toxic effect of venom	913.0	0.03	0.04
Iron deficiency anemia secondary to blood loss (chronic)	280.2	0.2	0.09
Disorders of refraction and accommodation; blindness and low vision	367.0	0.04	0.02
Rheumatism, unspecified and fibrositis	729.1	0.15	0.03
Benign neoplasm of adrenal gland	227.1	0.06	0.06
Benign neoplasm of other parts of digestive system	211.0	1.94	1.46
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	750.22	0.04	0.03
Urethral stricture (not specified as infectious)	597.1	0.7	1.28
Gastrointestinal complications	569.2	0.13	0.18
Diseases of the salivary glands	527.0	0.03	0.03
Malunion and nonunion of fracture	733.8	0.04	0.05
Type 2 diabetes with ketoacidosis	250.21	0.04	0.06
Myalgia and myositis unspecified	770.0	0.05	0.05
Peritonitis and retroperitoneal infections	567.0	0.23	0.33
Septicemia	38.0	0.96	1.27
Cervicitis and endocervicitis	614.51	0.55	0.0
Toxic multinodular goiter	242.2	0.05	0.01
Disorders of uterus, NEC	619.2	1.68	0.0
Malignant neoplasm of renal pelvis	189.12	0.01	0.03
Bronchiectasis	496.3	0.72	0.65
Chronic pharyngitis and nasopharyngitis	472.0	0.23	0.3
Other and unspecified disc disorder	722.9	1.15	1.19
Neoplasm of uncertain behavior	199.0	0.33	0.4
Secondary malignancy of lymph nodes	198.1	2.09	1.42
Broken tooth	873.0	0.02	0.03
Cushing's syndrome	255.11	0.04	0.02
Malignant neoplasm of gallbladder and extrahepatic bile ducts	159.3	0.06	0.07
Other specified diseases of the salivary glands	527.8	0.04	0.03
Gastroesophageal laceration-hemorrhage syndrome	530.7	0.08	0.13
Hormones and synthetic substitutes causing adverse effects in therapeutic use	962.3	0.13	0.09
Obesity	278.1	3.92	3.7
Myocarditis	420.1	0.03	0.04
Irregular menstrual cycle/bleeding	626.1	0.89	0.0
Chronic inflammatory pelvic disease	614.32	0.21	0.0
Intestinal helminthiases	134.1	0.03	0.04
Cancer of liver and intrahepatic bile duct	155.0	0.07	0.1
Pleurisy; pleural effusion	507.0	1.6	2.66
Cancer of other lymphoid, histiocytic tissue	202.0	0.29	0.42
Abscess or ulceration of vulva	614.54	0.13	0.0
Osteoarthritis; localized	740.1	3.24	2.49
Von willebrand's disease	286.11	0.04	0.02
Nevus, non-neoplastic	217.1	0.16	0.17
Cancer within the respiratory system	165.0	0.23	0.47
Glucocorticoid deficiency	255.21	0.12	0.1
Disorders of the autonomic nervous system	337.0	0.05	0.07
Generalized convulsive epilepsy	345.11	0.11	0.15
Alzheimer's disease	290.11	0.17	0.22
Antepartum hemorrhage, abruptio placentae, and placenta previa	635.2	0.44	0.0
Osteoporosis NOS	743.11	1.83	0.39
Lymphadenitis	289.4	0.74	0.88
Ventral hernia	550.5	0.99	1.28
Fracture of hand or wrist	804.0	0.11	0.19
Other hypertrophic cardiomyopathy	425.12	0.03	0.09
Cholangitis	575.1	0.13	0.22
Abdominal aortic aneurysm	442.11	0.07	0.55
Duodenal ulcer	531.3	0.54	1.11
Syncope and collapse	788.0	2.21	3.19
Primary open angle glaucoma	365.11	0.32	0.46
Circulatory disease NEC	459.9	4.35	6.01
Internal derangement of knee	835.0	0.86	1.25
Lipoma of skin and subcutaneous tissue	214.1	1.28	1.42
Cancer of brain	191.11	0.11	0.19
Other unspecified back disorders	724.9	0.11	0.17
Fever of unknown origin	783.0	1.11	1.28
Other cardiac conduction disorders	426.8	0.02	0.02
Polyneuropathy in diabetes	250.6	0.08	0.22
Nonsenile Cataract	366.1	0.02	0.02
Coronary atherosclerosis	411.4	2.64	9.55
Other disorders of stomach and duodenum	537.0	1.06	1.17
Cellulitis and abscess of face/neck	681.2	0.15	0.14
Diaphragmatic hernia	550.2	8.36	8.13
Neurological disorders	292.0	0.14	0.21
Mycoses	117.0	0.04	0.05
Bronchopneumonia and lung abscess	480.5	0.1	0.16
Exophthalmos	242.3	0.06	0.02
Benign neoplasm of skin	216.0	2.55	1.82
Disorders of penis	604.0	0.0	0.52
Other inflammatory disorders of male genital organs	601.8	0.0	0.19
Bundle branch block	426.3	0.06	0.17
Keratitis	370.0	0.04	0.03
Cholesteatoma	385.3	0.12	0.17
Extrapyramidal disease and abnormal movement disorders	333.0	0.12	0.1
Sarcoidosis	697.0	0.18	0.18
Salicylates causing adverse effects in therapeutic use	965.3	0.09	0.13
Acute pain	338.1	0.12	0.12
Endocarditis	420.3	0.16	0.27
Occlusion and stenosis of precerebral arteries	433.1	0.18	0.47
Phobia	300.13	0.29	0.15
Splenomegaly	579.2	0.09	0.21
Varicose veins of lower extremity, symptomtic	454.11	0.19	0.28
Other chronic nonalcoholic liver disease	571.5	0.53	0.65
Epilepsy, recurrent seizures, convulsions	345.0	0.87	1.07
Obsessive-compulsive disorders	300.3	0.05	0.06
