PheCode	Phenotype	MinPrev	MaxPrev
362.29	Macular degeneration (senile) of retina NOS	0.08	2.08
285.1	Acute posthemorrhagic anemia	0.06	0.13
71.0	Human immunodeficiency virus [HIV] disease	0.01	0.05
913.0	Toxic effect of venom	0.02	0.04
280.2	Iron deficiency anemia secondary to blood loss (chronic)	0.13	0.21
367.0	Disorders of refraction and accommodation; blindness and low vision	0.03	0.04
729.1	Rheumatism, unspecified and fibrositis	0.09	0.1
227.1	Benign neoplasm of adrenal gland	0.02	0.08
211.0	Benign neoplasm of other parts of digestive system	0.5	2.76
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	0.02	0.05
597.1	Urethral stricture (not specified as infectious)	0.56	1.48
569.2	Gastrointestinal complications	0.09	0.23
527.0	Diseases of the salivary glands	0.01	0.05
733.8	Malunion and nonunion of fracture	0.04	0.04
250.21	Type 2 diabetes with ketoacidosis	0.04	0.06
770.0	Myalgia and myositis unspecified	0.04	0.06
567.0	Peritonitis and retroperitoneal infections	0.16	0.39
38.0	Septicemia	0.45	1.86
614.51	Cervicitis and endocervicitis	0.18	0.39
242.2	Toxic multinodular goiter	0.02	0.04
619.2	Disorders of uterus, NEC	0.76	0.94
189.12	Malignant neoplasm of renal pelvis	0.0	0.05
496.3	Bronchiectasis	0.12	1.44
472.0	Chronic pharyngitis and nasopharyngitis	0.25	0.27
722.9	Other and unspecified disc disorder	1.12	1.3
199.0	Neoplasm of uncertain behavior	0.22	0.55
198.1	Secondary malignancy of lymph nodes	0.65	2.67
873.0	Broken tooth	0.02	0.03
255.11	Cushing's syndrome	0.02	0.03
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.02	0.11
527.8	Other specified diseases of the salivary glands	0.02	0.04
530.7	Gastroesophageal laceration-hemorrhage syndrome	0.09	0.14
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	0.04	0.17
278.1	Obesity	2.71	4.38
420.1	Myocarditis	0.02	0.04
626.1	Irregular menstrual cycle/bleeding	0.14	0.69
614.32	Chronic inflammatory pelvic disease	0.05	0.24
134.1	Intestinal helminthiases	0.03	0.06
155.0	Cancer of liver and intrahepatic bile duct	0.02	0.17
507.0	Pleurisy; pleural effusion	0.74	4.07
202.0	Cancer of other lymphoid, histiocytic tissue	0.18	0.54
614.54	Abscess or ulceration of vulva	0.05	0.11
740.1	Osteoarthritis; localized	0.55	5.56
286.11	Von willebrand's disease	0.02	0.04
217.1	Nevus, non-neoplastic	0.08	0.24
165.0	Cancer within the respiratory system	0.06	0.74
255.21	Glucocorticoid deficiency	0.08	0.12
337.0	Disorders of the autonomic nervous system	0.04	0.07
345.11	Generalized convulsive epilepsy	0.11	0.17
290.11	Alzheimer's disease	0.01	0.61
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	0.0	1.62
743.11	Osteoporosis NOS	0.19	2.43
289.4	Lymphadenitis	0.6	1.06
550.5	Ventral hernia	0.65	1.69
804.0	Fracture of hand or wrist	0.13	0.19
425.12	Other hypertrophic cardiomyopathy	0.04	0.07
575.1	Cholangitis	0.03	0.32
442.11	Abdominal aortic aneurysm	0.01	0.9
531.3	Duodenal ulcer	0.34	1.25
788.0	Syncope and collapse	1.34	4.39
365.11	Primary open angle glaucoma	0.05	0.92
459.9	Circulatory disease NEC	1.86	9.49
835.0	Internal derangement of knee	0.94	1.11
214.1	Lipoma of skin and subcutaneous tissue	1.07	1.43
191.11	Cancer of brain	0.09	0.18
