Phenotype	PheCode	35-44	45-54	55-64	65-74
Macular degeneration (senile) of retina NOS	362.29	0.08	0.19	0.86	2.08
Acute posthemorrhagic anemia	285.1	0.13	0.07	0.06	0.1
Human immunodeficiency virus [HIV] disease	71.0	0.05	0.04	0.02	0.01
Toxic effect of venom	913.0	0.02	0.03	0.03	0.04
Iron deficiency anemia secondary to blood loss (chronic)	280.2	0.21	0.18	0.13	0.14
Disorders of refraction and accommodation; blindness and low vision	367.0	0.03	0.03	0.03	0.04
Rheumatism, unspecified and fibrositis	729.1	0.09	0.1	0.1	0.09
Benign neoplasm of adrenal gland	227.1	0.02	0.04	0.07	0.08
Benign neoplasm of other parts of digestive system	211.0	0.5	1.03	2.04	2.76
Congenital anomaly of gallbladder, bile ducts, liver, pancreas	750.22	0.02	0.03	0.03	0.05
Urethral stricture (not specified as infectious)	597.1	0.56	0.67	1.02	1.48
Gastrointestinal complications	569.2	0.09	0.11	0.16	0.23
Diseases of the salivary glands	527.0	0.01	0.02	0.02	0.05
Malunion and nonunion of fracture	733.8	0.04	0.04	0.04	0.04
Type 2 diabetes with ketoacidosis	250.21	0.04	0.05	0.05	0.06
Myalgia and myositis unspecified	770.0	0.05	0.04	0.06	0.05
Peritonitis and retroperitoneal infections	567.0	0.16	0.22	0.29	0.39
Septicemia	38.0	0.45	0.67	1.21	1.86
Cervicitis and endocervicitis	614.51	0.34	0.39	0.27	0.18
Toxic multinodular goiter	242.2	0.02	0.02	0.03	0.04
Disorders of uterus, NEC	619.2	0.76	0.92	0.94	0.86
Malignant neoplasm of renal pelvis	189.12	0.0	0.01	0.02	0.05
Bronchiectasis	496.3	0.12	0.25	0.8	1.44
Chronic pharyngitis and nasopharyngitis	472.0	0.26	0.25	0.27	0.26
Other and unspecified disc disorder	722.9	1.18	1.12	1.14	1.3
Neoplasm of uncertain behavior	199.0	0.22	0.25	0.39	0.55
Secondary malignancy of lymph nodes	198.1	0.65	1.27	2.06	2.67
Broken tooth	873.0	0.02	0.03	0.03	0.03
Cushing's syndrome	255.11	0.02	0.03	0.03	0.03
Malignant neoplasm of gallbladder and extrahepatic bile ducts	159.3	0.02	0.03	0.08	0.11
Other specified diseases of the salivary glands	527.8	0.02	0.03	0.04	0.04
Gastroesophageal laceration-hemorrhage syndrome	530.7	0.1	0.09	0.09	0.14
Hormones and synthetic substitutes causing adverse effects in therapeutic use	962.3	0.04	0.09	0.12	0.17
Obesity	278.1	2.71	3.46	4.07	4.38
Myocarditis	420.1	0.02	0.03	0.03	0.04
Irregular menstrual cycle/bleeding	626.1	0.61	0.69	0.41	0.14
Chronic inflammatory pelvic disease	614.32	0.24	0.17	0.08	0.05
Intestinal helminthiases	134.1	0.06	0.04	0.03	0.03
Cancer of liver and intrahepatic bile duct	155.0	0.02	0.04	0.09	0.17
Pleurisy; pleural effusion	507.0	0.74	1.11	2.19	4.07
Cancer of other lymphoid, histiocytic tissue	202.0	0.18	0.23	0.38	0.54
Abscess or ulceration of vulva	614.54	0.11	0.09	0.06	0.05
Osteoarthritis; localized	740.1	0.55	1.39	3.35	5.56
Von willebrand's disease	286.11	0.04	0.03	0.03	0.02
Nevus, non-neoplastic	217.1	0.08	0.12	0.18	0.24
Cancer within the respiratory system	165.0	0.06	0.13	0.37	0.74
Glucocorticoid deficiency	255.21	0.08	0.1	0.12	0.12
Disorders of the autonomic nervous system	337.0	0.04	0.04	0.07	0.07
Generalized convulsive epilepsy	345.11	0.17	0.13	0.11	0.14
Alzheimer's disease	290.11	0.01	0.02	0.17	0.61
Antepartum hemorrhage, abruptio placentae, and placenta previa	635.2	1.62	0.3	0.0	0.0
Osteoporosis NOS	743.11	0.19	0.47	1.31	2.43
Lymphadenitis	289.4	0.6	0.64	0.85	1.06
Ventral hernia	550.5	0.65	0.83	1.2	1.69
Fracture of hand or wrist	804.0	0.19	0.15	0.13	0.14
Other hypertrophic cardiomyopathy	425.12	0.04	0.04	0.07	0.07
Cholangitis	575.1	0.03	0.1	0.19	0.32
Abdominal aortic aneurysm	442.11	0.01	0.03	0.27	0.9
Duodenal ulcer	531.3	0.34	0.57	0.87	1.25
Syncope and collapse	788.0	1.34	1.84	2.75	4.39
Primary open angle glaucoma	365.11	0.05	0.12	0.41	0.92
Circulatory disease NEC	459.9	1.86	2.85	5.46	9.49
Internal derangement of knee	835.0	1.0	1.11	1.05	0.94
Lipoma of skin and subcutaneous tissue	214.1	1.07	1.32	1.43	1.34
Cancer of brain	191.11	0.09	0.1	0.17	0.18
Other unspecified back disorders	724.9	0.1	0.1	0.15	0.19
Fever of unknown origin	783.0	0.89	0.99	1.23	1.55
Other cardiac conduction disorders	426.8	0.01	0.02	0.02	0.05
Polyneuropathy in diabetes	250.6	0.04	0.1	0.15	0.24
Nonsenile Cataract	366.1	0.01	0.02	0.02	0.03
Coronary atherosclerosis	411.4	0.95	2.58	6.58	11.65
Other disorders of stomach and duodenum	537.0	0.45	0.79	1.21	1.76
Cellulitis and abscess of face/neck	681.2	0.12	0.13	0.16	0.15
Diaphragmatic hernia	550.2	3.31	5.44	9.31	13.07
Neurological disorders	292.0	0.05	0.09	0.17	0.36
Mycoses	117.0	0.04	0.03	0.04	0.07
Bronchopneumonia and lung abscess	480.5	0.06	0.06	0.14	0.23
Exophthalmos	242.3	0.04	0.03	0.04	0.04
Benign neoplasm of skin	216.0	2.15	2.18	2.23	2.27
Disorders of penis	604.0	0.18	0.18	0.22	0.31
Other inflammatory disorders of male genital organs	601.8	0.06	0.06	0.08	0.13
Bundle branch block	426.3	0.02	0.03	0.11	0.27
Keratitis	370.0	0.02	0.03	0.04	0.05
Cholesteatoma	385.3	0.11	0.12	0.15	0.17
Extrapyramidal disease and abnormal movement disorders	333.0	0.05	0.08	0.12	0.17
Sarcoidosis	697.0	0.12	0.18	0.19	0.17
Salicylates causing adverse effects in therapeutic use	965.3	0.11	0.1	0.1	0.13
Acute pain	338.1	0.09	0.1	0.12	0.16
Endocarditis	420.3	0.08	0.11	0.22	0.42
Occlusion and stenosis of precerebral arteries	433.1	0.03	0.1	0.31	0.79
Phobia	300.13	0.15	0.17	0.23	0.37
Splenomegaly	579.2	0.09	0.11	0.16	0.18
