PheCode	Phenotype	MinPrev	MaxPrev
362.29	Macular degeneration (senile) of retina NOS	0.49	1.01
285.1	Acute posthemorrhagic anemia	0.07	0.13
71.0	Human immunodeficiency virus [HIV] disease	0.0	0.23
913.0	Toxic effect of venom	0.0	0.07
280.2	Iron deficiency anemia secondary to blood loss (chronic)	0.11	0.74
367.0	Disorders of refraction and accommodation; blindness and low vision	0.0	0.04
729.1	Rheumatism, unspecified and fibrositis	0.0	0.12
227.1	Benign neoplasm of adrenal gland	0.02	0.13
211.0	Benign neoplasm of other parts of digestive system	0.94	1.75
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	0.0	0.07
597.1	Urethral stricture (not specified as infectious)	0.45	1.66
569.2	Gastrointestinal complications	0.07	0.25
527.0	Diseases of the salivary glands	0.0	0.13
733.8	Malunion and nonunion of fracture	0.0	0.05
250.21	Type 2 diabetes with ketoacidosis	0.0	0.36
770.0	Myalgia and myositis unspecified	0.0	0.12
567.0	Peritonitis and retroperitoneal infections	0.13	0.28
38.0	Septicemia	0.2	1.16
614.51	Cervicitis and endocervicitis	0.19	0.39
242.2	Toxic multinodular goiter	0.0	0.13
619.2	Disorders of uterus, NEC	0.8	1.22
189.12	Malignant neoplasm of renal pelvis	0.0	0.03
496.3	Bronchiectasis	0.41	0.7
472.0	Chronic pharyngitis and nasopharyngitis	0.2	0.33
722.9	Other and unspecified disc disorder	0.32	1.32
199.0	Neoplasm of uncertain behavior	0.23	0.42
198.1	Secondary malignancy of lymph nodes	0.81	1.83
873.0	Broken tooth	0.0	0.03
255.11	Cushing's syndrome	0.0	0.06
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.04	0.13
527.8	Other specified diseases of the salivary glands	0.0	0.13
530.7	Gastroesophageal laceration-hemorrhage syndrome	0.0	0.12
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	0.0	0.21
278.1	Obesity	0.96	6.0
420.1	Myocarditis	0.0	0.1
626.1	Irregular menstrual cycle/bleeding	0.28	0.47
614.32	Chronic inflammatory pelvic disease	0.07	0.36
134.1	Intestinal helminthiases	0.0	0.1
155.0	Cancer of liver and intrahepatic bile duct	0.04	0.2
507.0	Pleurisy; pleural effusion	0.58	2.11
202.0	Cancer of other lymphoid, histiocytic tissue	0.21	0.51
614.54	Abscess or ulceration of vulva	0.02	0.16
740.1	Osteoarthritis; localized	0.65	3.01
286.11	Von willebrand's disease	0.0	0.08
217.1	Nevus, non-neoplastic	0.0	0.17
165.0	Cancer within the respiratory system	0.0	0.38
255.21	Glucocorticoid deficiency	0.06	0.24
337.0	Disorders of the autonomic nervous system	0.0	0.06
345.11	Generalized convulsive epilepsy	0.07	0.13
290.11	Alzheimer's disease	0.06	0.2
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	0.22	0.79
743.11	Osteoporosis NOS	0.57	1.19
289.4	Lymphadenitis	0.71	1.32
550.5	Ventral hernia	0.27	1.24
804.0	Fracture of hand or wrist	0.0	0.15
425.12	Other hypertrophic cardiomyopathy	0.05	0.23
575.1	Cholangitis	0.08	0.26
442.11	Abdominal aortic aneurysm	0.0	0.3
531.3	Duodenal ulcer	0.62	1.03
788.0	Syncope and collapse	1.53	2.91
365.11	Primary open angle glaucoma	0.18	1.18
459.9	Circulatory disease NEC	2.07	5.15
835.0	Internal derangement of knee	0.58	1.32
214.1	Lipoma of skin and subcutaneous tissue	1.31	2.54
191.11	Cancer of brain	0.05	0.16
724.9	Other unspecified back disorders	0.0	0.24
783.0	Fever of unknown origin	0.96	2.25
426.8	Other cardiac conduction disorders	0.0	0.07
250.6	Polyneuropathy in diabetes	0.07	0.32
366.1	Nonsenile Cataract	0.0	0.12
411.4	Coronary atherosclerosis	2.33	10.95
537.0	Other disorders of stomach and duodenum	0.74	1.22
681.2	Cellulitis and abscess of face/neck	0.0	0.18
550.2	Diaphragmatic hernia	3.43	8.37
292.0	Neurological disorders	0.06	0.28
117.0	Mycoses	0.03	0.08
480.5	Bronchopneumonia and lung abscess	0.05	0.25
242.3	Exophthalmos	0.03	0.11
216.0	Benign neoplasm of skin	0.87	2.27
604.0	Disorders of penis	0.1	0.26
601.8	Other inflammatory disorders of male genital organs	0.0	0.12
426.3	Bundle branch block	0.0	0.15
370.0	Keratitis	0.0	0.05
385.3	Cholesteatoma	0.03	0.22
333.0	Extrapyramidal disease and abnormal movement disorders	0.0	0.13
