PheCode	Phenotype	MinPrev	MaxPrev
362.29	Macular degeneration (senile) of retina NOS	0.76	0.85
285.1	Acute posthemorrhagic anemia	0.06	0.09
71.0	Human immunodeficiency virus [HIV] disease	0.0	0.09
913.0	Toxic effect of venom	0.03	0.04
280.2	Iron deficiency anemia secondary to blood loss (chronic)	0.11	0.22
367.0	Disorders of refraction and accommodation; blindness and low vision	0.02	0.04
729.1	Rheumatism, unspecified and fibrositis	0.07	0.17
227.1	Benign neoplasm of adrenal gland	0.04	0.1
211.0	Benign neoplasm of other parts of digestive system	1.65	1.78
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	0.03	0.05
597.1	Urethral stricture (not specified as infectious)	0.9	1.16
569.2	Gastrointestinal complications	0.13	0.17
527.0	Diseases of the salivary glands	0.02	0.03
733.8	Malunion and nonunion of fracture	0.03	0.05
250.21	Type 2 diabetes with ketoacidosis	0.02	0.12
770.0	Myalgia and myositis unspecified	0.03	0.07
567.0	Peritonitis and retroperitoneal infections	0.22	0.35
38.0	Septicemia	0.95	1.42
614.51	Cervicitis and endocervicitis	0.24	0.33
242.2	Toxic multinodular goiter	0.01	0.05
619.2	Disorders of uterus, NEC	0.86	0.92
189.12	Malignant neoplasm of renal pelvis	0.01	0.03
496.3	Bronchiectasis	0.6	0.92
472.0	Chronic pharyngitis and nasopharyngitis	0.24	0.3
722.9	Other and unspecified disc disorder	1.01	1.35
199.0	Neoplasm of uncertain behavior	0.33	0.43
198.1	Secondary malignancy of lymph nodes	1.73	1.86
873.0	Broken tooth	0.02	0.04
255.11	Cushing's syndrome	0.02	0.04
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	0.05	0.08
527.8	Other specified diseases of the salivary glands	0.03	0.04
530.7	Gastroesophageal laceration-hemorrhage syndrome	0.07	0.17
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	0.08	0.14
278.1	Obesity	2.76	5.69
420.1	Myocarditis	0.03	0.04
626.1	Irregular menstrual cycle/bleeding	0.39	0.49
614.32	Chronic inflammatory pelvic disease	0.08	0.17
134.1	Intestinal helminthiases	0.02	0.05
155.0	Cancer of liver and intrahepatic bile duct	0.07	0.1
507.0	Pleurisy; pleural effusion	1.79	2.72
202.0	Cancer of other lymphoid, histiocytic tissue	0.33	0.37
614.54	Abscess or ulceration of vulva	0.05	0.1
740.1	Osteoarthritis; localized	2.7	3.07
286.11	Von willebrand's disease	0.02	0.04
217.1	Nevus, non-neoplastic	0.15	0.18
165.0	Cancer within the respiratory system	0.26	0.54
255.21	Glucocorticoid deficiency	0.09	0.13
337.0	Disorders of the autonomic nervous system	0.05	0.07
345.11	Generalized convulsive epilepsy	0.08	0.22
290.11	Alzheimer's disease	0.17	0.25
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	0.19	0.27
743.11	Osteoporosis NOS	1.03	1.43
289.4	Lymphadenitis	0.67	1.06
550.5	Ventral hernia	0.89	1.47
804.0	Fracture of hand or wrist	0.12	0.16
425.12	Other hypertrophic cardiomyopathy	0.05	0.08
575.1	Cholangitis	0.14	0.19
442.11	Abdominal aortic aneurysm	0.25	0.34
531.3	Duodenal ulcer	0.61	1.11
788.0	Syncope and collapse	2.21	3.44
365.11	Primary open angle glaucoma	0.36	0.43
459.9	Circulatory disease NEC	4.29	6.55
835.0	Internal derangement of knee	0.97	1.09
214.1	Lipoma of skin and subcutaneous tissue	1.21	1.59
191.11	Cancer of brain	0.13	0.16
724.9	Other unspecified back disorders	0.1	0.2
783.0	Fever of unknown origin	1.07	1.39
426.8	Other cardiac conduction disorders	0.01	0.03
250.6	Polyneuropathy in diabetes	0.08	0.29
366.1	Nonsenile Cataract	0.01	0.04
411.4	Coronary atherosclerosis	5.05	7.05
537.0	Other disorders of stomach and duodenum	0.89	1.55
681.2	Cellulitis and abscess of face/neck	0.12	0.19
550.2	Diaphragmatic hernia	7.36	9.65
292.0	Neurological disorders	0.12	0.23
117.0	Mycoses	0.03	0.05
480.5	Bronchopneumonia and lung abscess	0.09	0.2
242.3	Exophthalmos	0.02	0.05
216.0	Benign neoplasm of skin	2.07	2.33
604.0	Disorders of penis	0.18	0.27
601.8	Other inflammatory disorders of male genital organs	0.05	0.1
426.3	Bundle branch block	0.08	0.14
370.0	Keratitis	0.03	0.05
385.3	Cholesteatoma	0.11	0.2
333.0	Extrapyramidal disease and abnormal movement disorders	0.08	0.16
697.0	Sarcoidosis	0.15	0.21
965.3	Salicylates causing adverse effects in therapeutic use	0.08	0.19
338.1	Acute pain	0.07	0.19
420.3	Endocarditis	0.18	0.24
433.1	Occlusion and stenosis of precerebral arteries	0.21	0.46
300.13	Phobia	0.18	0.33
579.2	Splenomegaly	0.12	0.2
454.11	Varicose veins of lower extremity, symptomtic	0.17	0.34
