PheCode	Phenotype	Age	Prevalence	Case	Controls
362.29	Macular degeneration (senile) of retina NOS	Total	0.81	3935	481288
362.29	Macular degeneration (senile) of retina NOS	1	0.8	782	96404
362.29	Macular degeneration (senile) of retina NOS	2	0.76	740	96420
362.29	Macular degeneration (senile) of retina NOS	3	0.85	828	96324
362.29	Macular degeneration (senile) of retina NOS	4	0.84	813	96319
362.29	Macular degeneration (senile) of retina NOS	5	0.8	772	95821
285.1	Acute posthemorrhagic anemia	Total	0.08	366	470418
285.1	Acute posthemorrhagic anemia	1	0.08	72	95429
285.1	Acute posthemorrhagic anemia	2	0.08	80	94864
285.1	Acute posthemorrhagic anemia	3	0.06	58	94453
285.1	Acute posthemorrhagic anemia	4	0.08	72	93719
285.1	Acute posthemorrhagic anemia	5	0.09	84	91953
71.0	Human immunodeficiency virus [HIV] disease	Total	0.02	115	492293
71.0	Human immunodeficiency virus [HIV] disease	1	0.0	0	98783
71.0	Human immunodeficiency virus [HIV] disease	2	0.0	2	98742
71.0	Human immunodeficiency virus [HIV] disease	3	0.01	6	98711
71.0	Human immunodeficiency virus [HIV] disease	4	0.02	21	98460
71.0	Human immunodeficiency virus [HIV] disease	5	0.09	86	97597
913.0	Toxic effect of venom	Total	0.03	162	500266
913.0	Toxic effect of venom	1	0.03	31	100108
913.0	Toxic effect of venom	2	0.04	39	100096
913.0	Toxic effect of venom	3	0.03	29	100083
913.0	Toxic effect of venom	4	0.03	28	100054
913.0	Toxic effect of venom	5	0.04	35	99925
280.2	Iron deficiency anemia secondary to blood loss (chronic)	Total	0.15	725	470418
280.2	Iron deficiency anemia secondary to blood loss (chronic)	1	0.12	111	95429
280.2	Iron deficiency anemia secondary to blood loss (chronic)	2	0.11	109	94864
280.2	Iron deficiency anemia secondary to blood loss (chronic)	3	0.16	147	94453
280.2	Iron deficiency anemia secondary to blood loss (chronic)	4	0.17	157	93719
280.2	Iron deficiency anemia secondary to blood loss (chronic)	5	0.22	201	91953
367.0	Disorders of refraction and accommodation; blindness and low vision	Total	0.03	142	496505
367.0	Disorders of refraction and accommodation; blindness and low vision	1	0.03	28	99400
367.0	Disorders of refraction and accommodation; blindness and low vision	2	0.04	38	99374
367.0	Disorders of refraction and accommodation; blindness and low vision	3	0.03	31	99342
367.0	Disorders of refraction and accommodation; blindness and low vision	4	0.02	19	99332
367.0	Disorders of refraction and accommodation; blindness and low vision	5	0.03	26	99057
729.1	Rheumatism, unspecified and fibrositis	Total	0.1	467	470973
729.1	Rheumatism, unspecified and fibrositis	1	0.07	65	94595
729.1	Rheumatism, unspecified and fibrositis	2	0.08	78	94210
729.1	Rheumatism, unspecified and fibrositis	3	0.08	77	94152
729.1	Rheumatism, unspecified and fibrositis	4	0.1	91	94332
729.1	Rheumatism, unspecified and fibrositis	5	0.17	156	93684
227.1	Benign neoplasm of adrenal gland	Total	0.06	293	498117
